Reference,Clause,Description,Initial Assessment Points,Findings,Status
A.5.14,Information transfer,"Annex A A.5.14: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are approved secure transfer methods defined for internal/external exchanges?,,
A.5.14,Information transfer,"Annex A A.5.14: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Is encryption at rest/in transit required for defined data types?,,
A.5.14,Information transfer,"Annex A A.5.14: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are transfer logs or evidence retained for high‑risk exchanges?,,
A.5.15,Access control,"Annex A A.5.15: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.","1. Are access control policies defined for roles, data, and systems?",,
A.5.15,Access control,"Annex A A.5.15: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.","2. Is least privilege measured (e.g., dormant/over‑privileged accounts)?",,
A.5.15,Access control,"Annex A A.5.15: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",3. How frequently are entitlements reviewed and re‑certified?,,
A.5.16,Identity management,"Annex A A.5.16: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",1. Is there a formal identity lifecycle (joiner/mover/leaver) with SLAs?,,
A.5.16,Identity management,"Annex A A.5.16: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",2. Are unique IDs enforced with periodic account hygiene reviews?,,
A.5.16,Identity management,"Annex A A.5.16: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",3. Are identity sources synchronized and reconciled with target systems?,,
A.5.17,Authentication information,"Annex A A.5.17: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",1. Where is MFA enforced and what risks justify any exceptions?,,
A.5.17,Authentication information,"Annex A A.5.17: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",2. Are credential stores hardened and periodically tested?,,
A.5.17,Authentication information,"Annex A A.5.17: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",3. How are secrets rotated and invalidated on compromise events?,,
A.5.18,Access rights,"Annex A A.5.18: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",1. Are access requests approved by data/system owners with audit trail?,,
A.5.18,Access rights,"Annex A A.5.18: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",2. How quickly are rights removed after role change/exit?,,
A.5.18,Access rights,"Annex A A.5.18: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",3. Are SoD conflicts detected during access provisioning?,,
A.5.19,Information security in supplier relationships,"Annex A A.5.19: Manage supplier/third‑party risks: due diligence, contractual requirements (security, privacy, audit rights), onboarding, monitoring, and termination. Include cloud/SaaS services and ensure responsibilities are defined and assessed periodically.",1. Are supplier risks assessed prior to onboarding and periodically thereafter?,,
A.5.19,Information security in supplier relationships,"Annex A A.5.19: Manage supplier/third‑party risks: due diligence, contractual requirements (security, privacy, audit rights), onboarding, monitoring, and termination. Include cloud/SaaS services and ensure responsibilities are defined and assessed periodically.","2. Do contracts include security, privacy, and audit clauses?",,
A.5.19,Information security in supplier relationships,"Annex A A.5.19: Manage supplier/third‑party risks: due diligence, contractual requirements (security, privacy, audit rights), onboarding, monitoring, and termination. Include cloud/SaaS services and ensure responsibilities are defined and assessed periodically.",3. How are supplier incidents reported and managed?,,
A.5.20,Addressing information security within supplier agreements,"Annex A A.5.20: Manage supplier/third‑party risks: due diligence, contractual requirements (security, privacy, audit rights), onboarding, monitoring, and termination. Include cloud/SaaS services and ensure responsibilities are defined and assessed periodically.","1. Do agreements define responsibilities, SLAs, and security metrics?",,
A.5.20,Addressing information security within supplier agreements,"Annex A A.5.20: Manage supplier/third‑party risks: due diligence, contractual requirements (security, privacy, audit rights), onboarding, monitoring, and termination. Include cloud/SaaS services and ensure responsibilities are defined and assessed periodically.",2. Are right‑to‑audit and data return/erasure clauses included?,,
A.5.20,Addressing information security within supplier agreements,"Annex A A.5.20: Manage supplier/third‑party risks: due diligence, contractual requirements (security, privacy, audit rights), onboarding, monitoring, and termination. Include cloud/SaaS services and ensure responsibilities are defined and assessed periodically.",3. Are deviations approved and tracked with risk acceptance?,,
A.5.21,Managing information security in the ICT supply chain,"Annex A A.5.21: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are SBOM/asset provenance or similar controls used for critical ICT?,,
A.5.21,Managing information security in the ICT supply chain,"Annex A A.5.21: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. How are third‑party component vulnerabilities tracked and mitigated?,,
A.5.21,Managing information security in the ICT supply chain,"Annex A A.5.21: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Is there traceability for hardware/software in critical services?,,
A.5.22,"Monitoring, review and change management of supplier services","Annex A A.5.22: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.","1. How are supplier performance and controls monitored (reports, attestations)?",,
A.5.22,"Monitoring, review and change management of supplier services","Annex A A.5.22: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",2. Are changes assessed for security impact before implementation?,,
A.5.22,"Monitoring, review and change management of supplier services","Annex A A.5.22: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",3. How are non‑conformities escalated and resolved?,,
A.5.23,Information security for use of cloud services,"Annex A A.5.23: Define security requirements for cloud services covering shared responsibility, onboarding, data location, access, logging, incident response, and exit planning. Assess providers against standards and monitor service performance and compliance.",1. Is there a cloud governance policy with provider selection criteria?,,
A.5.23,Information security for use of cloud services,"Annex A A.5.23: Define security requirements for cloud services covering shared responsibility, onboarding, data location, access, logging, incident response, and exit planning. Assess providers against standards and monitor service performance and compliance.",2. How are shared‑responsibility matrices documented and communicated?,,
A.5.23,Information security for use of cloud services,"Annex A A.5.23: Define security requirements for cloud services covering shared responsibility, onboarding, data location, access, logging, incident response, and exit planning. Assess providers against standards and monitor service performance and compliance.",3. Are exit plans and data portability tested?,,
A.5.24,Information security incident management planning and preparation,"Annex A A.5.24: Establish an incident management process with roles, classification, triage, investigation, response, recovery, and post‑incident learning. Coordinate with legal, privacy, business continuity, and communications obligations.",1. Are IR plans/playbooks documented with roles and contacts?,,
A.5.24,Information security incident management planning and preparation,"Annex A A.5.24: Establish an incident management process with roles, classification, triage, investigation, response, recovery, and post‑incident learning. Coordinate with legal, privacy, business continuity, and communications obligations.",2. How often are tabletop or technical exercises performed?,,
A.5.24,Information security incident management planning and preparation,"Annex A A.5.24: Establish an incident management process with roles, classification, triage, investigation, response, recovery, and post‑incident learning. Coordinate with legal, privacy, business continuity, and communications obligations.",3. Are lessons learned from tests/incidents fed back into plans?,,
A.5.25,Assessment and decision on information security events,"Annex A A.5.25: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",1. What thresholds/classification scheme distinguish events vs incidents?,,
A.5.25,Assessment and decision on information security events,"Annex A A.5.25: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",2. Are detections triaged consistently across teams/tools?,,
A.5.25,Assessment and decision on information security events,"Annex A A.5.25: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",3. Are false positives/negatives analyzed and tuned?,,
A.5.26,Response to information security incidents,"Annex A A.5.26: Establish an incident management process with roles, classification, triage, investigation, response, recovery, and post‑incident learning. Coordinate with legal, privacy, business continuity, and communications obligations.","1. Are response steps (contain, eradicate, recover) documented and rehearsed?",,
A.5.26,Response to information security incidents,"Annex A A.5.26: Establish an incident management process with roles, classification, triage, investigation, response, recovery, and post‑incident learning. Coordinate with legal, privacy, business continuity, and communications obligations.",2. How are stakeholders informed during incidents (internal/external)?,,
A.5.26,Response to information security incidents,"Annex A A.5.26: Establish an incident management process with roles, classification, triage, investigation, response, recovery, and post‑incident learning. Coordinate with legal, privacy, business continuity, and communications obligations.",3. Are RTO/RPO impacts measured post‑incident?,,
A.5.27,Learning from information security incidents,"Annex A A.5.27: Establish an incident management process with roles, classification, triage, investigation, response, recovery, and post‑incident learning. Coordinate with legal, privacy, business continuity, and communications obligations.",1. Is a formal PIR/lessons‑learned process defined with owners and deadlines?,,
A.5.27,Learning from information security incidents,"Annex A A.5.27: Establish an incident management process with roles, classification, triage, investigation, response, recovery, and post‑incident learning. Coordinate with legal, privacy, business continuity, and communications obligations.",2. What systemic fixes were implemented from recent incidents?,,
A.5.27,Learning from information security incidents,"Annex A A.5.27: Establish an incident management process with roles, classification, triage, investigation, response, recovery, and post‑incident learning. Coordinate with legal, privacy, business continuity, and communications obligations.",3. Are metrics tracked to show recurrence reduction?,,
A.5.28,Collection of evidence,"Annex A A.5.28: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are staff trained on evidence handling and chain of custody?,,
A.5.28,Collection of evidence,"Annex A A.5.28: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are time‑stamps and hashes used to preserve integrity?,,
A.5.28,Collection of evidence,"Annex A A.5.28: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Where is evidence securely stored and who can access it?,,
A.5.29,Information security during disruption,"Annex A A.5.29: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Do BCP/DR plans include security roles and minimum controls?,,
A.5.29,Information security during disruption,"Annex A A.5.29: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are fallback procedures documented for degraded security states?,,
A.5.29,Information security during disruption,"Annex A A.5.29: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Have disruption scenarios been tested end‑to‑end?,,
A.5.30,ICT readiness for business continuity,"Annex A A.5.30: Ensure information security continuity is integrated with BCM: define recovery strategies, dependencies, and exercises; validate effectiveness through tests and update plans based on lessons learned.",1. Are recovery objectives (RTO/RPO) defined and tested for key systems?,,
A.5.30,ICT readiness for business continuity,"Annex A A.5.30: Ensure information security continuity is integrated with BCM: define recovery strategies, dependencies, and exercises; validate effectiveness through tests and update plans based on lessons learned.",2. Are backup/replication strategies aligned to resilience goals?,,
A.5.30,ICT readiness for business continuity,"Annex A A.5.30: Ensure information security continuity is integrated with BCM: define recovery strategies, dependencies, and exercises; validate effectiveness through tests and update plans based on lessons learned.",3. Do exercises validate the ability to meet objectives?,,
A.5.31,"Identification of legal, statutory, regulatory and contractual requirements","Annex A A.5.31: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Is there a register of applicable laws/regs/contracts with owners?,,
A.5.31,"Identification of legal, statutory, regulatory and contractual requirements","Annex A A.5.31: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. How are regulatory changes tracked and applied to controls?,,
A.5.31,"Identification of legal, statutory, regulatory and contractual requirements","Annex A A.5.31: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are periodic compliance checks/audits scheduled and recorded?,,
A.5.32,Intellectual property rights,"Annex A A.5.32: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. How is licensed IP tracked and protected from misuse?,,
A.5.32,Intellectual property rights,"Annex A A.5.32: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are access and usage monitoring applied to IP assets?,,
A.5.32,Intellectual property rights,"Annex A A.5.32: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are infringement responses defined and tested?,,
A.5.33,Protection of records,"Annex A A.5.33: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are retention schedules defined and approved by Legal/Compliance?,,
A.5.33,Protection of records,"Annex A A.5.33: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. How are records protected against tampering and loss?,,
A.5.33,Protection of records,"Annex A A.5.33: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are archival and retrieval processes periodically tested?,,
A.5.34,Privacy and protection of PII,"Annex A A.5.34: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are privacy roles (DPO etc.) and processes defined and resourced?,,
A.5.34,Privacy and protection of PII,"Annex A A.5.34: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are DPIAs performed where appropriate and outcomes tracked?,,
A.5.34,Privacy and protection of PII,"Annex A A.5.34: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. How are data subject rights requests fulfilled and logged?,,
A.5.35,Independent review of information security,"Annex A A.5.35: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. What is the frequency/scope of independent ISMS audits?,,
A.5.35,Independent review of information security,"Annex A A.5.35: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are audit findings risk‑rated and tracked to closure?,,
A.5.35,Independent review of information security,"Annex A A.5.35: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Is auditor independence assured?,,
A.5.36,Compliance with policies and standards for information security,"Annex A A.5.36: Establish an information security policy framework that sets principles, responsibilities, and enforcement. Ensure policies are approved by management, communicated to users and third parties, reviewed at planned intervals, and supported by procedures/standards.","1. How is policy/standard compliance measured (attestations, scans, audits)?",,
A.5.36,Compliance with policies and standards for information security,"Annex A A.5.36: Establish an information security policy framework that sets principles, responsibilities, and enforcement. Ensure policies are approved by management, communicated to users and third parties, reviewed at planned intervals, and supported by procedures/standards.",2. Are recurring non‑compliances trended and addressed?,,
A.5.36,Compliance with policies and standards for information security,"Annex A A.5.36: Establish an information security policy framework that sets principles, responsibilities, and enforcement. Ensure policies are approved by management, communicated to users and third parties, reviewed at planned intervals, and supported by procedures/standards.",3. Do exceptions undergo risk acceptance with expiry?,,
A.5.37,Documented operating procedures,"Annex A A.5.37: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.","1. Are SOPs approved, version‑controlled, and accessible to staff?",,
A.5.37,Documented operating procedures,"Annex A A.5.37: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are SOPs trained and measured for adherence?,,
A.5.37,Documented operating procedures,"Annex A A.5.37: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are SOPs reviewed on change or at planned intervals?,,
A.6,People controls,"Annex A A.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",–,,
A.6.1,Screening,"Annex A A.6.1: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Which checks are performed per role and jurisdiction?,,
A.6.1,Screening,"Annex A A.6.1: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. How are results recorded and approvals documented?,,
A.6.1,Screening,"Annex A A.6.1: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are re‑checks performed for high‑risk roles?,,
A.6.2,Terms and conditions of employment,"Annex A A.6.2: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Do employment contracts include security and confidentiality clauses?,,
A.6.2,Terms and conditions of employment,"Annex A A.6.2: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. How do staff acknowledge and accept their security responsibilities?,,
A.6.2,Terms and conditions of employment,"Annex A A.6.2: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are contractual terms updated when policies change?,,
A.6.3,"Information security awareness, education and training","Annex A A.6.3: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Is there a curriculum for role‑based training and awareness?,,
A.6.3,"Information security awareness, education and training","Annex A A.6.3: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.","2. How is effectiveness measured (quizzes, phishing tests, KPIs)?",,
A.6.3,"Information security awareness, education and training","Annex A A.6.3: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. What is the completion rate and cadence?,,
A.6.4,Disciplinary process,"Annex A A.6.4: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Is there a documented disciplinary process for security breaches?,,
A.6.4,Disciplinary process,"Annex A A.6.4: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are cases handled consistently and proportionately?,,
A.6.4,Disciplinary process,"Annex A A.6.4: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. How are lessons learned fed back into training/policies?,,
A.6.5,Responsibilities after termination or change of employment,"Annex A A.6.5: Define, assign, and communicate information security roles, responsibilities, and authorities (e.g., risk owners, control operators, incident handlers). Prevent gaps/overlaps and retain evidence in job descriptions or RACIs.",1. Are access and assets revoked/returned on exit or role change?,,
A.6.5,Responsibilities after termination or change of employment,"Annex A A.6.5: Define, assign, and communicate information security roles, responsibilities, and authorities (e.g., risk owners, control operators, incident handlers). Prevent gaps/overlaps and retain evidence in job descriptions or RACIs.","2. Are continuing obligations (NDA, IP, non‑compete) communicated?",,
A.6.5,Responsibilities after termination or change of employment,"Annex A A.6.5: Define, assign, and communicate information security roles, responsibilities, and authorities (e.g., risk owners, control operators, incident handlers). Prevent gaps/overlaps and retain evidence in job descriptions or RACIs.",3. Are exceptions tracked and resolved?,,
A.6.6,Confidentiality or non-disclosure agreements,"Annex A A.6.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Who signs NDAs and where are they stored?,,
A.6.6,Confidentiality or non-disclosure agreements,"Annex A A.6.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Do NDA terms align with sensitivity and jurisdictional needs?,,
A.6.6,Confidentiality or non-disclosure agreements,"Annex A A.6.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are NDA renewals/revalidations tracked?,,
A.6.7,Remote working,"Annex A A.6.7: Control risks of mobile and remote working: device security, secure connectivity, data protection, and user responsibilities. Apply hardening, encryption, screen lock, and remote wipe; define location and network use constraints.","1. Are remote work policies, standards, and controls defined?",,
A.6.7,Remote working,"Annex A A.6.7: Control risks of mobile and remote working: device security, secure connectivity, data protection, and user responsibilities. Apply hardening, encryption, screen lock, and remote wipe; define location and network use constraints.",2. Are devices hardened and traffic protected for remote users?,,
A.6.7,Remote working,"Annex A A.6.7: Control risks of mobile and remote working: device security, secure connectivity, data protection, and user responsibilities. Apply hardening, encryption, screen lock, and remote wipe; define location and network use constraints.",3. How is remote work compliance monitored?,,
A.6.8,Information security event reporting,"Annex A A.6.8: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",1. Are event/incident reporting channels well publicized?,,
A.6.8,Information security event reporting,"Annex A A.6.8: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",2. Do staff know what constitutes an event/weakness?,,
A.6.8,Information security event reporting,"Annex A A.6.8: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",3. Are reports triaged and fed into IR promptly?,,
A.7,Physical controls,"Annex A A.7: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",–,,
A.7.1,Physical security perimeter,"Annex A A.7.1: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",1. Are secure areas defined with documented perimeters and controls?,,
A.7.1,Physical security perimeter,"Annex A A.7.1: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",2. How are access points minimized and monitored?,,
A.7.1,Physical security perimeter,"Annex A A.7.1: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",3. When was the last perimeter review or test?,,
A.7.2,Physical entry controls,"Annex A A.7.2: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.","1. What entry controls operate (badges, biometrics, visitor logs)?",,
A.7.2,Physical entry controls,"Annex A A.7.2: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",2. Are access logs retained and reviewed?,,
A.7.2,Physical entry controls,"Annex A A.7.2: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",3. How often are physical access rights revalidated?,,
A.7.3,"Securing offices, rooms and facilities","Annex A A.7.3: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are facility risks assessed and controls tailored by criticality?,,
A.7.3,"Securing offices, rooms and facilities","Annex A A.7.3: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are contractors/cleaners supervised in secure areas?,,
A.7.3,"Securing offices, rooms and facilities","Annex A A.7.3: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.","3. Are doors, locks, and barriers inspected routinely?",,
A.7.4,Physical security monitoring,"Annex A A.7.4: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",1. Are CCTV/alarm coverages risk‑based and tested?,,
A.7.4,Physical security monitoring,"Annex A A.7.4: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",2. Are recordings retained per policy and protected?,,
A.7.4,Physical security monitoring,"Annex A A.7.4: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",3. How are monitoring alerts triaged and escalated?,,
A.7.5,Protecting against physical and environmental threats,"Annex A A.7.5: Systematically collect, analyze, and act on threat intelligence relevant to your sector, technologies, and geographies. Integrate outputs into risk assessment, detection use cases, and awareness programs; evaluate sources and timeliness.",1. Are fire/flood/temp controls documented and maintained?,,
A.7.5,Protecting against physical and environmental threats,"Annex A A.7.5: Systematically collect, analyze, and act on threat intelligence relevant to your sector, technologies, and geographies. Integrate outputs into risk assessment, detection use cases, and awareness programs; evaluate sources and timeliness.",2. Are sensors/suppression systems routinely tested?,,
A.7.5,Protecting against physical and environmental threats,"Annex A A.7.5: Systematically collect, analyze, and act on threat intelligence relevant to your sector, technologies, and geographies. Integrate outputs into risk assessment, detection use cases, and awareness programs; evaluate sources and timeliness.",3. Are environmental alarms integrated with response?,,
A.7.6,Working in secure areas,"Annex A A.7.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are rules for working in secure areas defined and trained?,,
A.7.6,Working in secure areas,"Annex A A.7.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are escorts and authorization required for visitors/contractors?,,
A.7.6,Working in secure areas,"Annex A A.7.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are violations logged and addressed?,,
A.7.7,Clear desk and clear screen,"Annex A A.7.7: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are clear desk/screen requirements communicated and enforced?,,
