Reference,Clause,Description,Initial Assessment Points,Findings,Status
A.5.14,Information transfer,"Annex A A.5.14: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are approved secure transfer methods defined?,,
A.5.14,Information transfer,"Annex A A.5.14: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Is encryption/integrity protection applied where needed?,,
A.5.14,Information transfer,"Annex A A.5.14: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are transfers logged for high-risk exchanges?,,
A.5.15,Access control,"Annex A A.5.15: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",1. Are role-based access models defined?,,
A.5.15,Access control,"Annex A A.5.15: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",2. Is least privilege measured and improved?,,
A.5.15,Access control,"Annex A A.5.15: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",3. How often are entitlements re-certified?,,
A.5.16,Identity management,"Annex A A.5.16: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",1. Is there a joiner/mover/leaver process with SLAs?,,
A.5.16,Identity management,"Annex A A.5.16: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",2. Are unique IDs enforced and reviewed?,,
A.5.16,Identity management,"Annex A A.5.16: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",3. Are identity sources reconciled with targets?,,
A.5.17,Authentication information,"Annex A A.5.17: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",1. Where is MFA enforced; any exceptions?,,
A.5.17,Authentication information,"Annex A A.5.17: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",2. Are credential stores hardened/tested?,,
A.5.17,Authentication information,"Annex A A.5.17: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",3. How are secrets rotated/invalidated on compromise?,,
A.5.18,Access rights,"Annex A A.5.18: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",1. Are access requests owner-approved with audit trail?,,
A.5.18,Access rights,"Annex A A.5.18: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",2. How quickly are rights removed on exit/change?,,
A.5.18,Access rights,"Annex A A.5.18: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",3. Are SoD conflicts checked at provisioning?,,
A.5.19,Information security in supplier relationships,"Annex A A.5.19: Manage supplier/third‑party risks: due diligence, contractual requirements (security, privacy, audit rights), onboarding, monitoring, and termination. Include cloud/SaaS services and ensure responsibilities are defined and assessed periodically.",1. Are supplier risks assessed pre-onboarding and periodically?,,
A.5.19,Information security in supplier relationships,"Annex A A.5.19: Manage supplier/third‑party risks: due diligence, contractual requirements (security, privacy, audit rights), onboarding, monitoring, and termination. Include cloud/SaaS services and ensure responsibilities are defined and assessed periodically.",2. Do contracts include security/privacy/audit clauses?,,
A.5.19,Information security in supplier relationships,"Annex A A.5.19: Manage supplier/third‑party risks: due diligence, contractual requirements (security, privacy, audit rights), onboarding, monitoring, and termination. Include cloud/SaaS services and ensure responsibilities are defined and assessed periodically.",3. How are supplier incidents managed?,,
A.5.20,Addressing information security within supplier agreements,"Annex A A.5.20: Manage supplier/third‑party risks: due diligence, contractual requirements (security, privacy, audit rights), onboarding, monitoring, and termination. Include cloud/SaaS services and ensure responsibilities are defined and assessed periodically.","1. Do agreements define roles, SLAs, metrics?",,
A.5.20,Addressing information security within supplier agreements,"Annex A A.5.20: Manage supplier/third‑party risks: due diligence, contractual requirements (security, privacy, audit rights), onboarding, monitoring, and termination. Include cloud/SaaS services and ensure responsibilities are defined and assessed periodically.",2. Are right-to-audit and data return/erasure clauses included?,,
A.5.20,Addressing information security within supplier agreements,"Annex A A.5.20: Manage supplier/third‑party risks: due diligence, contractual requirements (security, privacy, audit rights), onboarding, monitoring, and termination. Include cloud/SaaS services and ensure responsibilities are defined and assessed periodically.",3. Are deviations risk-accepted with expiry?,,
A.5.21,Managing information security in the ICT supply chain,"Annex A A.5.21: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.","1. Is component provenance/traceability documented (e.g., SBOM)?",,
A.5.21,Managing information security in the ICT supply chain,"Annex A A.5.21: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. How are third-party vulnerabilities tracked?,,
A.5.21,Managing information security in the ICT supply chain,"Annex A A.5.21: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Is there traceability for critical components?,,
A.5.22,"Monitoring, review and change management of supplier services","Annex A A.5.22: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",1. How is supplier performance monitored (reports/attestations)?,,
A.5.22,"Monitoring, review and change management of supplier services","Annex A A.5.22: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",2. Are changes security-assessed pre-implementation?,,
A.5.22,"Monitoring, review and change management of supplier services","Annex A A.5.22: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",3. How are non-conformities escalated?,,
A.5.23,Information security for use of cloud services,"Annex A A.5.23: Define security requirements for cloud services covering shared responsibility, onboarding, data location, access, logging, incident response, and exit planning. Assess providers against standards and monitor service performance and compliance.",1. Is a cloud governance policy in place?,,
A.5.23,Information security for use of cloud services,"Annex A A.5.23: Define security requirements for cloud services covering shared responsibility, onboarding, data location, access, logging, incident response, and exit planning. Assess providers against standards and monitor service performance and compliance.",2. Are shared-responsibility matrices documented?,,
A.5.23,Information security for use of cloud services,"Annex A A.5.23: Define security requirements for cloud services covering shared responsibility, onboarding, data location, access, logging, incident response, and exit planning. Assess providers against standards and monitor service performance and compliance.",3. Are exit and portability plans tested?,,
A.5.24,Information security incident management planning and preparation,"Annex A A.5.24: Establish an incident management process with roles, classification, triage, investigation, response, recovery, and post‑incident learning. Coordinate with legal, privacy, business continuity, and communications obligations.",1. Are IR roles/playbooks documented?,,
A.5.24,Information security incident management planning and preparation,"Annex A A.5.24: Establish an incident management process with roles, classification, triage, investigation, response, recovery, and post‑incident learning. Coordinate with legal, privacy, business continuity, and communications obligations.",2. How often are tabletop/technical exercises performed?,,
A.5.24,Information security incident management planning and preparation,"Annex A A.5.24: Establish an incident management process with roles, classification, triage, investigation, response, recovery, and post‑incident learning. Coordinate with legal, privacy, business continuity, and communications obligations.",3. Are lessons learned looped back?,,
A.5.25,Assessment and decision on information security events,"Annex A A.5.25: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",1. What criteria distinguish events vs incidents?,,
A.5.25,Assessment and decision on information security events,"Annex A A.5.25: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",2. Is triage consistent across teams/tools?,,
A.5.25,Assessment and decision on information security events,"Annex A A.5.25: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",3. Are false positives/negatives analyzed?,,
A.5.26,Response to information security incidents,"Annex A A.5.26: Establish an incident management process with roles, classification, triage, investigation, response, recovery, and post‑incident learning. Coordinate with legal, privacy, business continuity, and communications obligations.",1. Are response steps documented and rehearsed?,,
A.5.26,Response to information security incidents,"Annex A A.5.26: Establish an incident management process with roles, classification, triage, investigation, response, recovery, and post‑incident learning. Coordinate with legal, privacy, business continuity, and communications obligations.",2. How are stakeholders informed during incidents?,,
A.5.26,Response to information security incidents,"Annex A A.5.26: Establish an incident management process with roles, classification, triage, investigation, response, recovery, and post‑incident learning. Coordinate with legal, privacy, business continuity, and communications obligations.",3. Are recovery objectives validated post-incident?,,
A.5.27,Learning from information security incidents,"Annex A A.5.27: Establish an incident management process with roles, classification, triage, investigation, response, recovery, and post‑incident learning. Coordinate with legal, privacy, business continuity, and communications obligations.",1. Is a PIR/lessons-learned process defined?,,
A.5.27,Learning from information security incidents,"Annex A A.5.27: Establish an incident management process with roles, classification, triage, investigation, response, recovery, and post‑incident learning. Coordinate with legal, privacy, business continuity, and communications obligations.",2. What systemic fixes came from recent incidents?,,
A.5.27,Learning from information security incidents,"Annex A A.5.27: Establish an incident management process with roles, classification, triage, investigation, response, recovery, and post‑incident learning. Coordinate with legal, privacy, business continuity, and communications obligations.",3. Are recurrence metrics tracked?,,
A.5.28,Collection of evidence,"Annex A A.5.28: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are staff trained in evidence handling?,,
A.5.28,Collection of evidence,"Annex A A.5.28: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are timestamps/hashes used to preserve integrity?,,
A.5.28,Collection of evidence,"Annex A A.5.28: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Where is evidence stored and who can access?,,
A.5.29,Information security during disruption,"Annex A A.5.29: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Do BCP/DR include minimum viable security?,,
A.5.29,Information security during disruption,"Annex A A.5.29: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are fallback procedures documented?,,
A.5.29,Information security during disruption,"Annex A A.5.29: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Have disruption scenarios been tested?,,
A.5.30,ICT readiness for business continuity,"Annex A A.5.30: Ensure information security continuity is integrated with BCM: define recovery strategies, dependencies, and exercises; validate effectiveness through tests and update plans based on lessons learned.",1. Are RTO/RPO defined and tested?,,
A.5.30,ICT readiness for business continuity,"Annex A A.5.30: Ensure information security continuity is integrated with BCM: define recovery strategies, dependencies, and exercises; validate effectiveness through tests and update plans based on lessons learned.",2. Are backup/replication strategies aligned?,,
A.5.30,ICT readiness for business continuity,"Annex A A.5.30: Ensure information security continuity is integrated with BCM: define recovery strategies, dependencies, and exercises; validate effectiveness through tests and update plans based on lessons learned.",3. Do exercises validate objectives?,,
A.5.31,"Identification of legal, statutory, regulatory and contractual requirements","Annex A A.5.31: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Is there a register of applicable obligations with owners?,,
A.5.31,"Identification of legal, statutory, regulatory and contractual requirements","Annex A A.5.31: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. How are changes monitored?,,
A.5.31,"Identification of legal, statutory, regulatory and contractual requirements","Annex A A.5.31: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are compliance checks scheduled?,,
A.5.32,Intellectual property rights,"Annex A A.5.32: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. How is IP tracked and protected?,,
A.5.32,Intellectual property rights,"Annex A A.5.32: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Is IP access/usage monitored?,,
A.5.32,Intellectual property rights,"Annex A A.5.32: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are infringement responses defined?,,
A.5.33,Protection of records,"Annex A A.5.33: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are retention schedules defined and approved?,,
A.5.33,Protection of records,"Annex A A.5.33: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. How are records protected from tampering/loss?,,
A.5.33,Protection of records,"Annex A A.5.33: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are archival/retrieval processes tested?,,
A.5.34,Privacy and protection of PII,"Annex A A.5.34: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are privacy roles and DPIA processes defined?,,
A.5.34,Privacy and protection of PII,"Annex A A.5.34: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. How are DSARs fulfilled and logged?,,
A.5.34,Privacy and protection of PII,"Annex A A.5.34: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are lifecycle controls applied to PII?,,
A.5.35,Independent review of information security,"Annex A A.5.35: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. What is audit/review frequency and scope?,,
A.5.35,Independent review of information security,"Annex A A.5.35: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are findings risk-rated and tracked?,,
A.5.35,Independent review of information security,"Annex A A.5.35: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Is independence maintained?,,
A.5.36,Compliance with policies and standards for information security,"Annex A A.5.36: Establish an information security policy framework that sets principles, responsibilities, and enforcement. Ensure policies are approved by management, communicated to users and third parties, reviewed at planned intervals, and supported by procedures/standards.",1. How is compliance measured (attestations/scans)?,,
A.5.36,Compliance with policies and standards for information security,"Annex A A.5.36: Establish an information security policy framework that sets principles, responsibilities, and enforcement. Ensure policies are approved by management, communicated to users and third parties, reviewed at planned intervals, and supported by procedures/standards.",2. Are trends analyzed for recurring gaps?,,
A.5.36,Compliance with policies and standards for information security,"Annex A A.5.36: Establish an information security policy framework that sets principles, responsibilities, and enforcement. Ensure policies are approved by management, communicated to users and third parties, reviewed at planned intervals, and supported by procedures/standards.",3. Do exceptions undergo time-bound risk acceptance?,,
A.5.37,Documented operating procedures,"Annex A A.5.37: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.","1. Are SOPs approved, version-controlled, accessible?",,
A.5.37,Documented operating procedures,"Annex A A.5.37: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are staff trained on SOPs with adherence checks?,,
A.5.37,Documented operating procedures,"Annex A A.5.37: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are SOPs reviewed on change/intervals?,,
A.6,People Controls,"Annex A A.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",–,,
A.6.1,Screening,"Annex A A.6.1: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are screening levels defined by role risk?,,
A.6.1,Screening,"Annex A A.6.1: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Do checks comply with laws and privacy?,,
A.6.1,Screening,"Annex A A.6.1: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are re-checks done for sensitive roles?,,
A.6.2,Terms and conditions of employment,"Annex A A.6.2: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Do contracts include security/acceptable use/confidentiality?,,
A.6.2,Terms and conditions of employment,"Annex A A.6.2: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. How do staff acknowledge obligations?,,
A.6.2,Terms and conditions of employment,"Annex A A.6.2: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are terms updated with policy changes?,,
A.6.3,"Information security awareness, education and training","Annex A A.6.3: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Is there a role-based training curriculum?,,
A.6.3,"Information security awareness, education and training","Annex A A.6.3: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. How is training effectiveness measured?,,
A.6.3,"Information security awareness, education and training","Annex A A.6.3: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. What is completion cadence and coverage?,,
A.6.4,Disciplinary process,"Annex A A.6.4: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Is a disciplinary process documented and fair?,,
A.6.4,Disciplinary process,"Annex A A.6.4: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are cases handled consistently?,,
A.6.4,Disciplinary process,"Annex A A.6.4: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are lessons learned fed into training/policy?,,
A.6.5,Responsibilities after termination or change of employment,"Annex A A.6.5: Define, assign, and communicate information security roles, responsibilities, and authorities (e.g., risk owners, control operators, incident handlers). Prevent gaps/overlaps and retain evidence in job descriptions or RACIs.",1. Are access/assets revoked/returned on exit/change?,,
A.6.5,Responsibilities after termination or change of employment,"Annex A A.6.5: Define, assign, and communicate information security roles, responsibilities, and authorities (e.g., risk owners, control operators, incident handlers). Prevent gaps/overlaps and retain evidence in job descriptions or RACIs.",2. Are continuing obligations communicated?,,
A.6.5,Responsibilities after termination or change of employment,"Annex A A.6.5: Define, assign, and communicate information security roles, responsibilities, and authorities (e.g., risk owners, control operators, incident handlers). Prevent gaps/overlaps and retain evidence in job descriptions or RACIs.",3. Are exceptions tracked and closed?,,
A.6.6,Confidentiality or non-disclosure agreements,"Annex A A.6.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Who signs NDAs and where stored?,,
A.6.6,Confidentiality or non-disclosure agreements,"Annex A A.6.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Do NDA terms reflect sensitivity/jurisdiction?,,
A.6.6,Confidentiality or non-disclosure agreements,"Annex A A.6.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are renewals tracked?,,
A.6.7,Remote working,"Annex A A.6.7: Control risks of mobile and remote working: device security, secure connectivity, data protection, and user responsibilities. Apply hardening, encryption, screen lock, and remote wipe; define location and network use constraints.",1. Are remote-work policies and standards defined?,,
A.6.7,Remote working,"Annex A A.6.7: Control risks of mobile and remote working: device security, secure connectivity, data protection, and user responsibilities. Apply hardening, encryption, screen lock, and remote wipe; define location and network use constraints.",2. Are devices hardened and traffic protected?,,
A.6.7,Remote working,"Annex A A.6.7: Control risks of mobile and remote working: device security, secure connectivity, data protection, and user responsibilities. Apply hardening, encryption, screen lock, and remote wipe; define location and network use constraints.",3. How is compliance monitored?,,
A.6.8,Information security event reporting,"Annex A A.6.8: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",1. Are reporting channels well publicized?,,
A.6.8,Information security event reporting,"Annex A A.6.8: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",2. Do staff know what/how to report?,,
A.6.8,Information security event reporting,"Annex A A.6.8: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",3. Are reports triaged into IR promptly?,,
A.7,Physical Controls,"Annex A A.7: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",–,,
A.7.1,Physical security perimeter,"Annex A A.7.1: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",1. Are secure areas defined with perimeters and controls?,,
A.7.1,Physical security perimeter,"Annex A A.7.1: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",2. How are access points minimized/monitored?,,
A.7.1,Physical security perimeter,"Annex A A.7.1: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",3. When was the last perimeter review?,,
A.7.2,Physical entry controls,"Annex A A.7.2: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",1. What entry controls are used (badges/biometrics/visitors)?,,
A.7.2,Physical entry controls,"Annex A A.7.2: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",2. Are access logs retained/reviewed?,,
A.7.2,Physical entry controls,"Annex A A.7.2: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",3. How often are rights revalidated?,,
A.7.3,"Securing offices, rooms and facilities","Annex A A.7.3: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are facility risks assessed by criticality?,,
A.7.3,"Securing offices, rooms and facilities","Annex A A.7.3: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are contractors/cleaners supervised?,,
A.7.3,"Securing offices, rooms and facilities","Annex A A.7.3: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are doors/locks/barriers inspected?,,
A.7.4,Physical security monitoring,"Annex A A.7.4: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",1. Is CCTV/alarm coverage risk-based and tested?,,
A.7.4,Physical security monitoring,"Annex A A.7.4: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",2. Are recordings protected/retained per policy?,,
A.7.4,Physical security monitoring,"Annex A A.7.4: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",3. How are alerts triaged?,,
A.7.5,Protecting against physical and environmental threats,"Annex A A.7.5: Systematically collect, analyze, and act on threat intelligence relevant to your sector, technologies, and geographies. Integrate outputs into risk assessment, detection use cases, and awareness programs; evaluate sources and timeliness.",1. Are fire/flood/temp controls maintained?,,
A.7.5,Protecting against physical and environmental threats,"Annex A A.7.5: Systematically collect, analyze, and act on threat intelligence relevant to your sector, technologies, and geographies. Integrate outputs into risk assessment, detection use cases, and awareness programs; evaluate sources and timeliness.",2. Are sensors/suppression tested?,,
A.7.5,Protecting against physical and environmental threats,"Annex A A.7.5: Systematically collect, analyze, and act on threat intelligence relevant to your sector, technologies, and geographies. Integrate outputs into risk assessment, detection use cases, and awareness programs; evaluate sources and timeliness.",3. Are environmental alarms integrated with response?,,
A.7.6,Working in secure areas,"Annex A A.7.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are rules for secure areas defined and trained?,,
A.7.6,Working in secure areas,"Annex A A.7.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are escorts/authorizations required?,,
A.7.6,Working in secure areas,"Annex A A.7.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are violations logged and addressed?,,
A.7.7,Clear desk and clear screen,"Annex A A.7.7: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are clear desk/screen rules enforced?,,
A.7.7,Clear desk and clear screen,"Annex A A.7.7: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are auto-lock/timeouts configured?,,
A.7.7,Clear desk and clear screen,"Annex A A.7.7: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are spot-checks conducted?,,
A.7.8,Equipment siting and protection,"Annex A A.7.8: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",1. Is equipment placement risk-informed?,,
A.7.8,Equipment siting and protection,"Annex A A.7.8: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",2. Are protections against tamper/damage in place?,,
A.7.8,Equipment siting and protection,"Annex A A.7.8: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",3. Are power/cooling monitored?,,
