Reference,Clause,Description,Initial Assessment Points,Evidence/Artifact,Findings,Status
Article 24,Components of the ICT business continuity policy,"Financial entities shall include in their ICT business continuity policy referred to in Article 11(1) of Regulation (EU) 2022/2554 all of the following: (a) a description of: (i) the objectives of the ICT business continuity policy, including the interrelation of ICT and overall business continuity, and considering the results of the business impact analysis (BIA) referred to in Article 11(5) of Regulation (EU) 2022/2554; (ii) the scope of the ICT business continuity arrangements, plans, procedures, and mechanisms, including limitations and exclusions; (iii) the timeframe to be covered by the ICT business continuity arrangements, plans, procedures, and mechanisms; (iv) the criteria to activate and deactivate ICT business continuity plans, ICT response and recovery plans, and crisis communications plans; (b) provisions on: (i) the governance and organisation to implement the ICT business continuity policy, including roles, responsibilities and escalation procedures ensuring that sufficient resources are available; (ii) the alignment between the ICT business continuity plans and the overall business continuity plans, concerning at least all of the following: (1) potential failure scenarios, including the scenarios referred to in Article 26(2) of this Regulation; (2) recovery objectives, specifying that the financial entity shall be able to recover the operations of its critical or important functions after disruptions within a recovery time objective and a recovery point objective; (iii) the development of ICT business continuity plans for severe business disruptions as part of those plans, and the prioritisation of ICT business continuity actions using a risk-based approach; (iv) the development, testing and review of ICT response and recovery plans, in accordance with Articles 25 and 26 of this Regulation; (v) the review of the effectiveness of the implemented ICT business continuity arrangements, plans, procedures and mechanisms, in accordance with Article 26 of this Regulation; (vi) the alignment of the ICT business continuity policy to: (1) the communication policy referred to in Article 14(2) of Regulation (EU) 2022/2554; EN 34 EN (2) the communication and crisis communication actions referred to in Article 11(2), point (e), of Regulation (EU) 2022/2554. In addition to the requirements referred to in paragraph 1, central counterparties shall ensure that their ICT business continuity policy: (a) contains a maximum recovery time for their critical functions that is not longer than 2 hours; (b) takes into account external links and interdependencies within the financial infrastructures, including trading venues cleared by the central counterparty, securities settlement and payment systems, and credit institutions used by the central counterparty or a linked central counterparty; (c) requires that arrangements are in place to: (i) ensure the continuity of critical or important functions of the central counterparty based on disaster scenarios; (ii) maintain a secondary processing site capable of ensuring continuity of critical or important functions of the central counterparty identical to the primary site; (iii) maintain or have immediate access to a secondary business site, to allow staff to ensure continuity of the service if the primary location of business is not available; (iv) consider the need for additional processing sites, in particular where the diversity of the risk profiles of the primary and secondary sites does not provide sufficient confidence that the central counterparty’s business continuity objectives will be met in all scenarios. For the purposes of point (a), central counterparties shall complete end of day procedures and payments on the required time and day in all circumstances.","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 24?",Access Control Policy; User access reviews; Provisioning/deprovisioning logs; PAM records; MFA configuration,,
Article 25,Testing of the ICT business continuity plans,"When testing the ICT business continuity plans in accordance with Article 11(6), of Regulation (EU) 2022/2554, financial entities shall take into account the financial entity’s business impact analysis (BIA) and the ICT risk assessment referred to in Article 3(1), point (b), of this Regulation. Financial entities shall assess through the testing of their ICT business continuity plans referred to in paragraph 1 whether they are able to ensure the continuity of the financial entity’s critical or important functions. That testing shall: (a) be performed on the basis of test scenarios that simulate potential disruptions, including an adequate set of severe but plausible scenarios; (b) contain the testing of ICT services provided by ICT third-party service providers, where applicable; (c) for financial entities, other than microenterprises, as referred to in Article 11(6), second subparagraph, of Regulation (EU) 2022/2554, contain scenarios of switchover from primary ICT infrastructure to the redundant capacity, backups and redundant facilities; (d) be designed to challenge the assumptions on which the business continuity plans are based, including governance arrangements and crisis communication plans; (e) contain procedures to verify the ability of the financial entities’ staff, of ICT third-party service providers, of ICT systems, and ICT services to respond adequately to the scenarios duly taken into account in accordance with Article 26(2).","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 25?",ICT Risk Management Framework; Risk Register; Periodic Risk Assessment Reports; Board minutes approving risk appetite,,
Article 26,ICT response and recovery plans,"When developing the ICT response and recovery plans referred to in Article 11(3) of Regulation (EU) 2022/2554, financial entities shall take into account the results of the financial entity’s business impact analysis (BIA). Those ICT response and recovery plans shall: (a) specify the conditions prompting their activation or deactivation, and any exceptions for such activation or deactivation; (b) describe what actions are to be taken to ensure the availability, integrity, continuity, and recovery of at least ICT systems and services supporting critical or important functions of the financial entity; (c) be designed to meet the recovery objectives of the operations of the financial entities; (d) be documented and made available to the staff involved in the execution of ICT response and recovery plans and be readily accessible in case of emergency; (e) provide for both short-term and long-term recovery options, including partial systems recovery; (f) lay down the objectives of ICT response and recovery plans and the conditions to declare a successful execution of those plans. For the purposes of point (d), financial entities shall clearly specify roles and responsibilities.",Does the organization comply with the requirements specified in Article 26?,Access Control Policy; User access reviews; Provisioning/deprovisioning logs; PAM records; MFA configuration,,
Article 27,Format and content of the report on the review of the ICT risk management framework,"Financial entities shall submit the report on the review of the ICT risk management framework referred to in Article 6(5) of Regulation (EU) 2022/2554 in a searchable electronic format. Financial entities shall include all of the following information in the report referred to in paragraph 1: (a) an introductory section that: (i) clearly identifies the financial entity that is the subject of the report, and describes its group structure, where relevant; (ii) describes the context of the report in terms of the nature, scale, and complexity of the financial entity's services, activities, and operations, its organisation, identified critical functions, strategy, major ongoing projects or activities, relationships and its dependence on in-house and contracted ICT services and systems or the implications that a total loss EN 38 EN or severe degradation of such systems would have in terms of critical or important functions and market efficiency; (iii) summarises the major changes in the ICT risk management framework since the previous report submitted; (iv) provides an executive level summary of the current and near-term ICT risk profile, threat landscape, the assessed effectiveness of its controls, and the security posture of the financial entity; (b) the date of the approval of the report by the management body of the financial entity; (c) a description of the reason for the review of the ICT risk management framework in accordance with Article 6(5) of Regulation (EU) 2022/2554.; (d) the start and end dates of the review period; (e) an indication of the function responsible for the review; (f) a description of the major changes and improvements to the ICT risk management framework since the previous review; (g) a summary of the findings of the review and detailed analysis and assessment of the severity of the weaknesses, deficiencies, and gaps in the ICT risk management framework during the review period; (h) a description of the measures to address identified weaknesses, deficiencies, and gaps, including all of the following: (i) a summary of measures taken to remediate to identified weaknesses, deficiencies and gaps; (ii) an expected date for implementing the measures and dates related to the internal control of the implementation, including information on the state of progress of the implementation of those measures as at the date of drafting of the report, explaining, where applicable, if there is a risk that deadlines may not be respected; (iii) tools to be used, and the identification of the function responsible for carrying out the measures, detailing whether the tools and functions are internal or external; (iv) a description of the impact of the changes envisaged in the measures on the financial entity's budgetary, human, and material resources, including resources dedicated to the implementation of any corrective measures; (v) information on the process for informing the competent authority, where appropriate; (vi) where the weaknesses, deficiencies, or gaps identified are not subject to corrective measures, a detailed explanation of the criteria used to analyse the impact of those weaknesses, deficiencies, or gaps, to evaluate the related residual ICT risk, and of the criteria used to accept the related residual risk; (i) information on planned further developments of the ICT risk management framework; (j) conclusions resulting from the review of the ICT risk management framework; EN 39 EN (k) information on past reviews, including: (i) a list of past reviews to date; (ii) where applicable, a state of implementation of the corrective measures identified by the last report; (iii) where the proposed corrective measures in past reviews have proven ineffective or have created unexpected challenges, a description of how those corrective measures could be improved or of those unexpected challenges; (l) sources of information used in the preparation of the report, including all of the following: (i) for financial entities other than microenterprises as referred to in Article 6(6) of Regulation (EU) 2022/2554, the results of internal audits; (ii) the results of compliance assessments; (iii) results of digital operational resilience testing, and where applicable the results of advanced testing, based on threat-led penetration testing (TLPT), of ICT tools, systems, and processes; (iv) external sources. For the purposes of point (c), where the review was initiated following supervisory instructions, or conclusions derived from relevant digital operational resilience testing or audit processes, the report shall contain explicit references to such instructions or conclusions, allowing for the identification of the reason for initiating the review.","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 27?",ICT Risk Management Framework; Risk Register; Periodic Risk Assessment Reports; Board minutes approving risk appetite,,
Article 28,Governance and organisation,"The financial entities referred to in Article 16(1) of Regulation (EU) 2022/2554 shall have in place an internal governance and control framework that ensures an effective and prudent management of ICT risk to achieve a high level of digital operational resilience. The financial entities referred to in paragraph 1 shall, as part of their simplified ICT risk management framework, ensure that their management body: (a) bears the overall responsibility for ensuring that the simplified ICT risk management framework allows for the achievement of the financial entity’s business strategy in accordance with the risk appetite of that financial entity, and ensures that ICT risk is considered in that context; (b) sets clear roles and responsibilities for all ICT-related tasks; (c) sets out information security objectives and ICT requirements; (d) approves, oversees, and periodically reviews: (i) the classification of information assets of the financial entity as referred to in Article 30(1) of this Regulation, the list of main risks identified, and the business impact analysis and related policies; (ii) the business continuity plans of the financial entity, and the response and recovery measures referred to in Article 16(1), point (f), of Regulation (EU) 2022/2554; (e) allocates and reviews at least once a year the budget necessary to fulfil the financial entity’s digital operational resilience needs in respect of all types of resources, including relevant ICT security awareness programmes and digital operational resilience training and ICT skills for all staff; (f) specifies and implements the policies and measures included in Chapters I, II and III of this Title to identify, assess and manage the ICT risk the financial entity is exposed to; (g) identifies and implements procedures, ICT protocols, and tools that are necessary to protect all information assets and ICT assets; (h) ensures that the staff of the financial entity is kept up to date with sufficient knowledge and skills to understand and assess ICT risk and its impact on the operations of the financial entity, commensurate to the ICT risk being managed; EN 41 EN (i) establishes reporting arrangements, including the frequency, form, and content of reporting to the management body on the information security and digital operational resilience. The financial entities referred to in paragraph 1 may, in accordance with Union and national sectoral law, outsource the tasks of verifying compliance with ICT risk management requirements to ICT intra-group or ICT third-party service providers.","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 28?",ICT Risk Management Framework; Risk Register; Periodic Risk Assessment Reports; Board minutes approving risk appetite,,
Article 29,Information security policy and measures,"The financial entities referred to in Article 16(1) of Regulation (EU) 2022/2554 shall develop, document, and implement an information security policy in the context of the simplified ICT risk management framework. That information security policy shall specify the high-level principles and rules to protect the confidentiality, integrity, availability, and authenticity of data and of the services those financial entities provide. Based on their information security policy referred to in paragraph 1, the financial entities referred to in paragraph 1 shall establish and implement ICT security measures to mitigate their exposure to ICT risk, including mitigating measures implemented by ICT third-party service providers.","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 29?",ICT Risk Management Framework; Risk Register; Periodic Risk Assessment Reports; Board minutes approving risk appetite,,
Article 30,Classification of information assets and ICT assets,"As part of the simplified ICT risk management framework referred to in Article 16(1), point (a), of Regulation (EU) 2022/2554, the financial entities referred to in paragraph 1 of that Article shall identify, classify, and document all critical or important functions, the information assets and ICT assets supporting them and their interdependencies. Financial entities shall review that identification and classification as needed. The financial entities referred to in paragraph 1 shall identify all critical or important functions supported by ICT third-party service providers.","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 30?",ICT Risk Management Framework; Risk Register; Periodic Risk Assessment Reports; Board minutes approving risk appetite,,
Article 31,ICT risk management,"The financial entities referred to in Article 16(1) of Regulation (EU) 2022/2554 shall include in their simplified ICT risk management framework all of the following : (a) a determination of the risk tolerance levels for ICT risk, in accordance with the risk appetite of the financial entity; (b) the identification and assessment of the ICT risks to which the financial entity is exposed; (c) the specification of mitigation strategies at least for the ICT risks that are not within the risk tolerance levels of the financial entity; (d) the monitoring of the effectiveness of the mitigation strategies referred to in point (c); (e) the identification and assessment of any ICT and information security risks resulting from any major change in ICT system or ICT services, processes, or procedures, and from ICT security testing results and after any major ICT- related incident. The financial entities referred to in paragraph 1 shall carry out and document the ICT risk assessment periodically commensurate to the financial entities’ ICT risk profile. The financial entities referred to in paragraph 1 shall continuously monitor threats and vulnerabilities that are relevant to their critical or important functions, and information assets and ICT assets, and shall regularly review the risk scenarios impacting those critical or important functions.","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 31?",ICT Risk Management Framework; Risk Register; Periodic Risk Assessment Reports; Board minutes approving risk appetite,,
Article 32,Physical and environmental security,"The financial entities referred to in Article 16(1) of Regulation (EU) 2022/2554 shall identify and implement physical security measures designed on the basis of the threat landscape and in accordance with the classification referred to in Article 30(1) of this Regulation, the overall risk profile of ICT assets, and accessible information assets. The measures referred to in paragraph 1 shall protect the premises of financial entities and, where applicable, data centres of financial entities where ICT assets and information assets reside from unauthorised access, attacks, and accidents, and from environmental threats and hazards. The protection from environmental threats and hazards shall be commensurate with the importance of the premises concerned and, where applicable, the data centres and the criticality of the operations or ICT systems located therein.","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 32?",ICT Risk Management Framework; Risk Register; Periodic Risk Assessment Reports; Board minutes approving risk appetite,,
Article 33,Access Control,"The financial entities referred to in Article 16(1) of Regulation (EU) 2022/2554 shall develop, document, and implement procedures for the control of logical and physical access and shall enforce, monitor, and periodically review those procedures. Those procedures shall contain the following elements of control of logical and physical access: (a) access rights to information assets, ICT assets, and their supported functions, and to critical locations of operation of the financial entity, are managed on a need-to-know, need-to-use and least privileges basis, including for remote and emergency access; (b) user accountability, which ensures that users can be identified for the actions performed in the ICT systems; (c) account management procedures to grant, change, or revoke access rights for user and generic accounts, including generic administrator accounts; (d) authentication methods that are commensurate to the classification referred to in Article 30(1) and to the overall risk profile of ICT assets, and which are based on leading practices; (e) access rights are periodically reviewed and are withdrawn when no longer required. For the purposes of point (c), the financial entity shall assign privileged, emergency, and administrator access on a need-to-use or an ad-hoc basis for all ICT systems, and shall be logged in accordance with Article 34(1), point (f).","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 33?",ICT Risk Management Framework; Risk Register; Periodic Risk Assessment Reports; Board minutes approving risk appetite,,
Article 34,ICT operations security,"The financial entities referred to in Article 16(1) of Regulation (EU) 2022/2554 shall, as part of their systems, protocols, and tools, and for all ICT assets: (a) monitor and manage the lifecycle of all ICT assets; (b) monitor whether the ICT assets are supported by ICT third-party service providers of financial entities, where applicable; (c) identify capacity requirements of their ICT assets and measures to maintain and improve the availability and efficiency of ICT systems and prevent ICT capacity shortages before they materialise; EN 44 EN (d) perform automated vulnerability scanning and assessments of ICT assets commensurate to their classification as referred to in Article 30(1) and to the overall risk profile of the ICT asset, and deploy patches to address identified vulnerabilities; (e) manage the risks related to outdated,  unsupported, or legacy ICT assets; (f) log events related to logical and physical access control, ICT operations, including system and network traffic activities, and ICT change management; (g) identify and implement measures to monitor and analyse information on anomalous activities and behaviour for critical or important ICT operations; (h) implement measures to monitor relevant and up-to-date information about cyber threats; (i) implement measures to identify possible information leakages, malicious code and other security threats, and publicly known vulnerabilities in software and hardware, and check for corresponding new security updates. For the purposes of point (f), financial entities shall align the level of detail of the logs with their purpose and usage of the ICT asset producing those logs.","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 34?",ICT Risk Management Framework; Risk Register; Periodic Risk Assessment Reports; Board minutes approving risk appetite,,
Article 35,"Data, system and network security","The financial entities referred to in Article 16(1) of Regulation (EU) 2022/2554 shall, as part of their systems, protocols, and tools, develop and implement safeguards that ensure the security of networks against intrusions and data misuse and that preserve the availability, authenticity, integrity, and confidentiality of data. In particular, financial entities shall, taking into account the classification referred to in Article 30(1) of this Regulation, establish all of the following: (a) the identification and implementation of measures to protect data in use, in transit, and at rest; (b) the identification and implementation of security measures regarding the use of software, data storage media, systems and endpoint devices that transfer and store data of the financial entity; (c) the identification and implementation of measures to prevent and detect unauthorised connections to the financial entity's network, and to secure the network traffic between the financial entity’s internal networks and the internet and other external connections; (d) the identification and implementation of measures that ensure the availability, authenticity, integrity, and confidentiality of data during network transmissions; (e) a process to securely delete data on premises, or that are stored externally, that the financial entity no longer needs to collect or store; (f) a process to securely dispose of, or decommission, data storage devices on premises, or data storage devices that are stored externally, that contain confidential information; (g) the identification and implementation of measures to ensure that teleworking and the use of private endpoint devices does not adversely impact the financial entity’s ability to carry out its critical activities in an adequate, timely, and secure manner.",Have appropriate ICT security measures and controls been implemented according to Article 35?,Network Diagrams; Data flow maps; Segmentation standards; Firewall ruleset reviews,,
Article 36,ICT security testing,"The financial entities referred to in Article 16(1) of Regulation (EU) 2022/2554 shall establish and implement an ICT security testing plan to validate the effectiveness of their ICT security measures developed in accordance with Articles 33, 34 and 35 and Articles 37 and 38 of this Regulation. Financial entities shall ensure that that plan considers threats and vulnerabilities identified as part of the simplified ICT risk management framework referred to in Article 31 of this Regulation. The financial entities referred to in paragraph 1 shall review, asses and test ICT security measures, taking into consideration the overall risk profile of the ICT assets of the financial entity.","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 36?",ICT Risk Management Framework; Risk Register; Periodic Risk Assessment Reports; Board minutes approving risk appetite,,
Article 37,"ICT systems acquisition, development, and maintenance","The financial entities referred to in Article 16(1) of Regulation (EU) 2022/2554 shall design and implement, where appropriate, a procedure governing the acquisition, development, and maintenance of ICT systems following a risk-based approach. That procedure shall: (a) ensure that, before any acquisition or development of ICT systems takes place, the functional and non-functional requirements, including information security requirements, are clearly specified and approved by the business function concerned; (b) ensure the testing and approval of ICT systems prior to their first use and before introducing changes to the production environment; (c) identify measures to mitigate the risk of unintentional alteration or intentional manipulation of the ICT systems during development and implementation in the production environment.","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 37?",Vulnerability Assessment Reports; Penetration Test Reports; Remediation plans; Evidence of re-tests,,
Article 38,ICT project and change management,"The financial entities referred to in Article 16(1) of Regulation (EU) 2022/2554 shall develop, document, and implement an ICT project management procedure and shall specify the roles and responsibilities for its implementation. That procedure shall cover all stages of the ICT projects from their initiation to their closure. The financial entities referred to in paragraph 1 shall develop, document, and implement an ICT change management procedure to ensure that all changes to ICT systems are recorded, tested, assessed, approved, implemented, and verified in a controlled manner and with the adequate safeguards to preserve the financial entity’s digital operational resilience.","Has the organization developed, documented, and implemented the policies and procedures described in Article 38?",Change Management Policy; Change tickets; CAB minutes; Deployment & rollback records,,
Article 39,Components of the ICT business continuity plan,"The financial entities referred to in Article 16(1) of Regulation (EU) 2022/2554 shall develop their ICT business continuity plans considering the results of the analysis of their exposures to and potential impact of severe business disruptions and scenarios to which their ICT assets supporting critical or important functions might be exposed, including a cyber-attack scenario. The ICT business continuity plans referred to in paragraph 1 shall: (a) be approved by the management body of the financial entity; (b) be documented and readily accessible in the event of an emergency or crisis; (c) allocate sufficient resources for their execution; (d) establish planned recovery levels and timeframes for the recovery and resumption of functions and key internal and external dependencies, including ICT third-party service providers; (e) identify the conditions that may prompt the activation of the ICT business continuity plans and what actions are to be taken to ensure the availability, continuity, and recovery of the financial entities’ ICT assets supporting critical or important functions; (f) identify the restoration and recovery measures for critical or important business functions, supporting processes, information assets, and their interdependencies to avoid adverse effects on the functioning of the financial entities; (g) identify backup procedures and measures that specify the scope of the data that are subject to the backup, and the minimum frequency of the backup, based on the criticality of the function using those data; (h) consider alternative options where recovery may not be feasible in the short term because of costs, risks, logistics, or unforeseen circumstances; (i) specify the internal and external communication arrangements, including escalation plans; (j) be updated in line with lessons learned from incidents, tests, new risks, and threats identified, changed recovery objectives, major changes to the financial entity’s organisation, and to the ICT assets supporting critical or business functions. For the purposes of point (f), the measures referred to in that point shall provide for the mitigation of failures of critical third-party providers.","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 39?",Access Control Policy; User access reviews; Provisioning/deprovisioning logs; PAM records; MFA configuration,,
Article 40,Testing of business continuity plans,"The financial entities referred to in Article 16(1) of Regulation (EU) 2022/2554 shall test their business continuity plans referred to in Article 39 of this Regulation, including the scenarios referred to in that Article, at least once every year for the EN 47 EN back-up and restore procedures, or upon every major change of the business continuity plan. The testing of business continuity plans referred to in paragraph 1 shall demonstrate that the financial entities referred to in that paragraph are able to sustain the viability of their businesses until critical operations are re-established and identify any deficiencies in those plans. The financial entities referred to in paragraph 1 shall document the results of the testing of business continuity plans and any identified deficiencies resulting from that testing shall be analysed, addressed, and reported to the management body.","Has the organization developed, documented, and implemented the policies and procedures described in Article 40?",Backup Policy; Backup schedules; Restoration test reports; Offsite storage evidence,,
Article 41,Format and content of the report on the review of the simplified ICT risk management,"The financial entities referred to in Article 16(1) of Regulation (EU) 2022/2554 shall submit the report on the review of the ICT risk management framework referred to in paragraph 2 of that Article in a searchable electronic format. The report referred to in paragraph 1 shall contain all of the following information: (a) an introductory section providing: (i) a description of the context of the report in terms of the nature, scale, and complexity of the financial entity's services, activities, and operations, the financial entity’s organisation, identified critical functions, strategy, major ongoing projects or activities, and relationships, and the financial entity’s dependence on in-house and outsourced ICT services and systems, or the implications that a total loss or severe degradation of such systems would have on critical or important functions and market efficiency; (ii) an executive level summary of the current and near-term ICT risk identified, threat landscape, the assessed effectiveness of its controls, and the security posture of the financial entity; (iii) information about the reported area; (iv) a summary of the major changes in the ICT risk management framework since the previous report; (v) a summary and a description of the impact of major changes to the simplified ICT risk management framework since the previous report; (b) where applicable, the date of the approval of the report by the management body of the financial entity; (c) a description of the reasons for the review, including: (i) where the review has been initiated following supervisory instructions, evidence of such instructions; EN 48 EN (ii) where the review has been initiated following the occurrence of ICT- related incidents, the list of all those ICT-related incidents with related incident root-cause analysis; (d) the start and end date of the review period; (e) the person responsible for the review; (f) a summary of findings, and a self-assessment of the severity of the weaknesses, deficiencies, and gaps identified in ICT risk management framework for the review period, including a detailed analysis thereof; (g) remedying measures identified to address weaknesses, deficiencies, and gaps in the simplified ICT risk management framework, and the expected date for implementing those measures, including the follow-up on weaknesses, deficiencies, and gaps identified in previous reports, where those weaknesses, deficiencies, and gaps  have not yet been remedied; (h) overall conclusions on the review of the simplified ICT risk management framework, including any further planned developments.","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 41?",ICT Risk Management Framework; Risk Register; Periodic Risk Assessment Reports; Board minutes approving risk appetite,,
