Category,Clause,Reference,Description,Audit Questions,Evidence/Artifact,Level 1 Implementation (example),Level 2 Implementation (example),Level 3 Implementation (example)
06.0 Compliance,06.01 Legal Requirements,06.b Intellectual Property Rights (IPR),"The organization must control public access, delivery, and loading areas to prevent unauthorized entry into secure facilities.","1. Are delivery and loading areas segregated from secure areas?
2. Are controls implemented to monitor access?
3. Is access recorded and reviewed?",Applicable policy document; Implementation procedure; Sample logs/reports,"Public access, delivery, and loading areas are physically separated from secure zones. Access is logged manually.",CCTV and controlled entry points monitor deliveries and public access. Logs are reviewed periodically.,Automated monitoring systems enforce strict separation and generate real-time alerts for unauthorized access attempts.
06.0 Compliance,06.01 Legal Requirements,06.c Protection of Organizational Records,The organization must site equipment securely and protect it from physical and environmental risks.,"1. Is equipment sited to minimize risks?
2. Are protective measures documented?
3. Is compliance verified regularly?",Applicable policy document; Implementation procedure; Sample logs/reports,Equipment is sited away from risks and basic protective measures are documented.,Protective measures such as climate control and access restrictions are implemented. Compliance is verified regularly.,Advanced protections including real-time monitoring systems and automated alerts ensure equipment is safeguarded continuously.
06.0 Compliance,06.01 Legal Requirements,06.d Data Protection and Privacy of Personal Information,"The organization must protect supporting utilities such as power, water, and communications to ensure continuous availability.","1. Are supporting utilities identified and protected?
2. Are backup systems in place?
3. Are utilities tested for resilience?",Applicable policy document; Implementation procedure; Sample logs/reports,Basic protections such as surge protectors and UPS systems are in place for utilities.,Backup systems such as generators and redundant communications are implemented and tested periodically.,Advanced utility protection includes automated failover systems and continuous monitoring to ensure resilience.
06.0 Compliance,06.01 Legal Requirements,06.e Prevention of Misuse of Information Processing Facilities,The organization must protect power and telecommunications cabling from interception or damage.,"1. Are cabling routes protected?
2. Are controls implemented to prevent interception?
3. Are inspections conducted periodically?",Applicable policy document; Implementation procedure; Sample logs/reports,Cabling routes are documented and protected using conduits or secure pathways.,Periodic inspections verify protection of cabling and controls to prevent interception.,Automated monitoring systems track cabling integrity and trigger alerts for suspected damage or tampering.
06.0 Compliance,06.01 Legal Requirements,06.f Regulation of Cryptographic Controls,The organization must maintain equipment properly to ensure continued availability and security.,"1. Is equipment maintenance scheduled?
2. Are maintenance records kept?
3. Is maintenance conducted securely?",Applicable policy document; Implementation procedure; Sample logs/reports,"Basic equipment maintenance schedules are documented, and records are kept manually.","Maintenance schedules are centrally tracked, and contractors are vetted for secure practices.","Automated maintenance management systems ensure timely servicing, track contractor compliance, and generate audit-ready logs."
06.0 Compliance,06.02 Security Policies and Standards Compliance,06.g Compliance with Security Policies and Standards,"The organization must protect equipment used off-premises against loss, theft, or unauthorized access.","1. Are off-premises equipment security requirements defined?
2. Are encryption and physical protections applied?
3. Is compliance monitored?",Applicable policy document; Implementation procedure; Sample logs/reports,Policies require employees to protect off-premises equipment with physical safeguards and passwords.,Encryption and additional controls are mandated for sensitive off-premises equipment. Compliance is checked periodically.,"Mobile device management solutions enforce encryption, remote wipe, and continuous monitoring of off-premises equipment."
06.0 Compliance,06.02 Security Policies and Standards Compliance,06.h Technical Compliance Checking,The organization must securely dispose of or sanitize equipment before reuse to prevent unauthorized data disclosure.,"1. Are procedures defined for secure disposal or reuse?
2. Is data wiped or destroyed prior to disposal?
3. Are disposal activities documented?",Applicable policy document; Implementation procedure; Sample logs/reports,"Procedures for secure disposal are defined, and basic data wiping is performed before reuse or disposal.","Certified destruction or sanitization processes are used, with records retained for accountability.",Automated sanitization tools and certified disposal vendors ensure complete data destruction with auditable certificates.
06.0 Compliance,06.03 Information System Audit Considerations,06.i Information Systems Audit Controls,The organization must control the removal of property from premises to prevent unauthorized loss of assets or data.,"1. Are removal of property procedures documented?
2. Is approval required before property is removed?
3. Are logs maintained for removals?",Applicable policy document; Implementation procedure; Sample logs/reports,Procedures require approval before property can be removed from premises. Logs are maintained manually.,"Approval workflows are documented and tracked, with periodic reviews of removal logs by management.",Automated approval workflows and monitoring systems enforce property removal controls with audit-ready records.
06.0 Compliance,06.03 Information System Audit Considerations,06.j Protection of Information Systems Audit Tools,"The organization must develop, document, and maintain operating procedures for key information processing activities to ensure consistency and control.","1. Are operating procedures documented for key processes?
2. Are procedures version-controlled and approved?
3. Are staff trained and following current procedures?",Applicable policy document; Implementation procedure; Sample logs/reports,Core operating procedures are documented and stored in a central repository. Staff are made aware of the current versions.,Procedures are version-controlled with defined owners and periodic reviews. Training records demonstrate that staff follow the procedures.,"Workflow tools automate procedure distribution, acknowledgment, and periodic attestation, with dashboards tracking adherence."
07.0 Asset Management,07.01 Responsibility for Assets,07.a Inventory of Assets,Changes to systems and applications must follow a formal change management process to minimize adverse impact on security and operations.,"1. Is there a formal change management process?
2. Are risk/impact assessments and approvals documented?
3. Are changes tested, back-out plans defined, and results recorded?",Applicable policy document; Implementation procedure; Sample logs/reports,"A documented change process requires tickets, approvals, and basic testing before deployment.","Risk and impact assessments, separation of duties, and back-out plans are enforced. Post-implementation reviews are documented.","Change workflows are automated in ITSM tools with segregation of duties, automated approvals, and integrated testing evidence."
07.0 Asset Management,07.01 Responsibility for Assets,07.b Ownership of Assets,Duties and responsibilities must be segregated to reduce the opportunities for unauthorized or unintentional modification or misuse of systems.,"1. Are conflicting duties identified and segregated?
2. Are SoD rules documented and enforced?
3. Are exceptions approved and monitored?",Applicable policy document; Implementation procedure; Sample logs/reports,A matrix identifies incompatible duties and defines basic segregation rules.,Access controls and workflow approvals enforce segregation of duties. Exceptions are documented and time-bound.,"GRC/IAM tools continuously monitor SoD violations with alerts, recertification workflows, and analytics."
07.0 Asset Management,07.01 Responsibility for Assets,07.c Acceptable Use of Assets,"Development, test, and operational environments must be separated to reduce the risks of unauthorized access or changes to operational systems.","1. Are development, test, and operational environments separated?
2. Are data and access appropriately restricted between environments?
3. Are promotions controlled and logged?",Applicable policy document; Implementation procedure; Sample logs/reports,Non-production and production environments are logically separated with restricted access.,"Promotion processes require approvals, and production data is protected from non-production use.","Automated pipelines enforce controls with audited promotions, environment isolation, and data masking/tokenization where needed."
07.0 Asset Management,07.02 Information Classification,07.d Classification Guidelines,"Service delivery must be managed to ensure that third-party services meet security, performance, and availability requirements.","1. Are service levels and security requirements defined with providers?
2. Is provider performance monitored?
3. Are issues escalated and resolved per contract?",Applicable policy document; Implementation procedure; Sample logs/reports,Service requirements are defined in contracts and monitored at a basic level.,SLAs/OLAs and security KPIs are tracked with regular reviews and corrective actions.,Automated monitoring integrates with vendor portals to track SLAs and security metrics with real-time alerts and dashboards.
07.0 Asset Management,07.02 Information Classification,07.e Information Labeling and Handling,Third-party services must be monitored and reviewed to ensure they continue to meet agreed security and performance obligations.,"1. Are third-party services reviewed against SLAs and security clauses?
2. Are audit/attestation reports obtained and assessed?
3. Are weaknesses tracked to remediation?",Applicable policy document; Implementation procedure; Sample logs/reports,Periodic reviews of third-party performance and security attestations are performed.,"A structured vendor review process evaluates SLAs, audit reports, and risk findings with remediation tracking.","TPRM platforms automate collection of SIG/CAIQ/attestations, monitor issues, and drive remediation workflows."
08.0 Physical & Environmental Security,08.01 Secure Areas,08.a Secure Areas Policy,Changes to third-party services must be managed to ensure continued compliance with contractual and security requirements.,"1. Are provider changes subject to review and approval?
2. Are security impacts assessed and documented?
3. Are customers notified when material changes occur?",Applicable policy document; Implementation procedure; Sample logs/reports,Providers notify of material changes and the organization reviews impacts informally.,"A formal process evaluates change impacts, updates agreements, and documents approvals.","Contract lifecycle tools track provider changes, trigger security reviews, and update obligations automatically."
08.0 Physical & Environmental Security,08.01 Secure Areas,08.b Physical Entry Controls,Capacity requirements must be monitored and managed to ensure system performance and availability meet business needs.,"1. Is capacity monitored with thresholds?
2. Are trends reviewed and forecasts prepared?
3. Are capacity upgrades planned and tested?",Applicable policy document; Implementation procedure; Sample logs/reports,Basic monitoring alerts on capacity thresholds are configured for critical systems.,Trend analysis and forecasting inform planned upgrades and resource allocation.,Automated capacity management with predictive analytics adjusts resources dynamically and reports to stakeholders.
08.0 Physical & Environmental Security,08.01 Secure Areas,"08.c Securing Offices, Rooms and Facilities",Formal acceptance criteria must be defined and met before systems are moved into production.,"1. Are acceptance criteria defined and documented?
2. Are security tests completed before go-live?
3. Are approvals recorded?",Applicable policy document; Implementation procedure; Sample logs/reports,"Acceptance checklists include functional and basic security tests, with sign-offs retained.",Risk-based acceptance requires vulnerability remediation and completion of security test cases.,Automated release gates enforce acceptance criteria and collect evidence from testing tools before deployment.
08.0 Physical & Environmental Security,08.01 Secure Areas,08.d Protecting against External and Environmental Threats,"Controls must be implemented to detect, prevent, and recover from malicious code on systems and endpoints.","1. Are anti-malware controls deployed and updated?
2. Are scans scheduled and alerts monitored?
3. Are recovery procedures defined and tested?",Applicable policy document; Implementation procedure; Sample logs/reports,Anti-malware software is installed with signature updates and periodic scans.,Centralized EDR solutions monitor alerts and quarantine threats with regular reporting.,"Behavior-based detection, sandboxing, and automated response are integrated with SIEM/SOAR for rapid containment."
08.0 Physical & Environmental Security,08.01 Secure Areas,08.e Working in Secure Areas,Policies and technical controls must manage the use of mobile code to prevent unauthorized or harmful execution.,"1. Is the use of mobile code governed by policy?
2. Are approved types and configurations enforced?
3. Are detections of unauthorized mobile code investigated?",Applicable policy document; Implementation procedure; Sample logs/reports,Policies define acceptable mobile code types and basic restrictions.,Endpoint and browser controls enforce approved configurations with periodic reviews.,"Application control/allowlisting and runtime protections prevent unapproved mobile code, with centralized monitoring."
08.0 Physical & Environmental Security,08.01 Secure Areas,"08.f Public Access, Delivery and Loading Areas","Information and system backups must be performed, protected, and tested to ensure availability and integrity of critical data.","1. Are backups performed per policy and scope?
2. Are backups protected (encryption, immutability, off-site copies)?
3. Are restores tested and documented?",Backup logs; BCP/DR plan; Restore test reports; BIA reports,Backup schedules and retention are defined and executed for critical systems.,"Backups are encrypted, stored off-site/immutable, and restoration tests are conducted regularly.","Backup orchestration automates immutable copies, geo-redundancy, and routine restore testing with evidence and alerts."
08.0 Physical & Environmental Security,08.02 Equipment Security,08.g Equipment Siting and Protection,"System activities must be logged, monitored, and retained to detect and investigate security events.","1. Are logging requirements defined and implemented?
2. Are logs protected and retained per policy?
3. Are logs regularly reviewed and correlated with alerts?",Applicable policy document; Implementation procedure; Sample logs/reports,"Logging is enabled on critical systems, and logs are retained for a minimum defined period.","Centralized log management ensures retention, access control, and correlation with alerts from monitoring tools.","SIEM/SOAR solutions aggregate, analyze, and automatically respond to suspicious activity across the enterprise."
08.0 Physical & Environmental Security,08.02 Equipment Security,08.h Supporting Utilities,"Faults and errors in information systems must be logged, reviewed, and resolved to maintain availability and security.","1. Are system faults and errors logged?
2. Are logs reviewed and investigated?
3. Are corrective actions documented?",Applicable policy document; Implementation procedure; Sample logs/reports,System faults are logged locally and reviewed by administrators periodically.,"Faults are centralized in log management systems, with incident tickets created for follow-up.","Automated monitoring tools analyze and prioritize faults, triggering remediation workflows in ITSM platforms."
08.0 Physical & Environmental Security,08.02 Equipment Security,08.i Cabling Security,Systems must synchronize clocks to an authoritative time source to ensure accurate timestamps for logs and transactions.,"1. Are all systems synchronized to a trusted time source?
2. Are time settings monitored and corrected?
3. Are exceptions documented?",Applicable policy document; Implementation procedure; Sample logs/reports,Critical systems are synchronized manually or via basic NTP services.,Time synchronization is enforced across all systems using secure NTP servers with monitoring for drifts.,Enterprise-wide automated time services with redundancy ensure integrity of log and transaction timestamps.
08.0 Physical & Environmental Security,08.02 Equipment Security,08.j Equipment Maintenance,Network controls must be implemented to protect systems and data from unauthorized access or threats.,"1. Are network security controls documented and enforced?
2. Are firewalls and segmentation in place?
3. Are controls reviewed and tested regularly?",Network access control policy; Firewall/IDS configs; Network segmentation diagram; VPN usage logs,Firewalls and access control lists are implemented at key network points.,"Network segmentation, IDS/IPS, and regular reviews ensure layered defense.",Zero Trust architectures and automated threat detection tools continuously enforce network security.
08.0 Physical & Environmental Security,08.02 Equipment Security,08.k Security of Equipment off-premises,"Security features, service levels, and management requirements must be identified for all network services.","1. Are network service requirements defined in contracts and policies?
2. Are services reviewed for compliance?
3. Are service levels monitored?",Network access control policy; Firewall/IDS configs; Network segmentation diagram; VPN usage logs,Basic service requirements are documented for critical network services.,SLAs with providers include detailed security features and monitoring mechanisms.,"Continuous monitoring validates service security, with automated dashboards showing compliance status."
08.0 Physical & Environmental Security,08.02 Equipment Security,08.l Secure Disposal or Re-use of Equipment,Networks must be segregated to protect sensitive systems and reduce the risk of unauthorized access.,"1. Are networks segmented based on sensitivity?
2. Are controls preventing cross-network access?
3. Is segmentation effectiveness tested?",Network access control policy; Firewall/IDS configs; Network segmentation diagram; VPN usage logs,Basic VLANs or subnetting separate sensitive systems from general traffic.,Firewalls and routing rules enforce strict segmentation with monitoring of access attempts.,Microsegmentation and Zero Trust principles enforce continuous monitoring and granular access restrictions.
08.0 Physical & Environmental Security,08.02 Equipment Security,08.m Removal of Property,Policies and procedures must be established for secure transfer of information via all communication channels.,"1. Are secure transfer policies documented?
2. Are encryption and integrity checks applied?
3. Are transfers monitored and logged?",Applicable policy document; Implementation procedure; Sample logs/reports,Policies require encryption for sensitive transfers and manual monitoring of compliance.,Procedures enforce secure channels such as TLS/SSL with periodic checks of integrity and compliance.,"Automated DLP and secure transfer gateways enforce encryption, integrity, and generate compliance logs."
09.0 Communications & Operations Management,09.01 Documented Operating Procedures,09.a Documented Operating Procedures,"Security measures must be applied to electronic messaging to protect against threats such as phishing, malware, and unauthorized disclosure.","1. Are email and messaging systems secured with anti-malware and filtering?
2. Are messages encrypted where required?
3. Are usage policies defined and monitored?",Applicable policy document; Implementation procedure; Sample logs/reports,Basic anti-malware and spam filters are applied to email and messaging systems.,"Encryption, advanced filtering, and monitoring protect sensitive communications.","AI-driven email security and DLP monitor, block, and respond to threats in real time."
09.0 Communications & Operations Management,09.01 Documented Operating Procedures,09.b Change Management,"Business information systems must be secured and monitored to ensure availability, integrity, and confidentiality of data.","1. Are business systems identified and secured?
2. Are controls aligned with risk levels?
3. Are systems monitored for anomalies?",Applicable policy document; Implementation procedure; Sample logs/reports,Basic security measures are applied to business-critical systems with monitoring of uptime.,"Controls are risk-based, with continuous monitoring and periodic audits.",Advanced monitoring platforms enforce adaptive security controls and integrate with enterprise risk systems.
09.0 Communications & Operations Management,09.01 Documented Operating Procedures,09.c Segregation of Duties,Information intended for public release must be approved and reviewed to prevent accidental disclosure of sensitive data.,"1. Are procedures in place for approving public information?
2. Is sensitive data reviewed and removed before publication?
3. Are approvals documented?",Applicable policy document; Implementation procedure; Sample logs/reports,Public information is reviewed by a designated staff member before release.,Formal approval processes include legal and compliance review before publication.,Automated content scanning tools detect and block sensitive data before release to public platforms.
09.0 Communications & Operations Management,09.01 Documented Operating Procedures,"09.d Separation of Development, Test and Operational Facilities","Input data must be validated to prevent errors, omissions, and malicious input from compromising systems or data.","1. Are input validation checks defined and implemented?
2. Are errors logged and corrected?
3. Are validation rules tested regularly?",Applicable policy document; Implementation procedure; Sample logs/reports,Basic input validation checks are defined and implemented for key systems.,Validation rules are standardized across applications and subject to testing during development and updates.,"Automated validation frameworks enforce rules consistently, with monitoring for anomalous or malicious inputs."
09.0 Communications & Operations Management,09.02 Third Party Service Delivery,09.e Service Delivery,"Controls must be implemented to ensure internal processing is accurate, complete, and secure.","1. Are controls in place to validate internal processing?
2. Are discrepancies logged and corrected?
3. Are results reviewed by management?",Applicable policy document; Implementation procedure; Sample logs/reports,Basic reconciliation and integrity checks are performed during internal processing.,"Systematic controls validate processing accuracy, and discrepancies are logged and corrected with approvals.","Automated monitoring and reconciliation tools validate accuracy, generate alerts, and integrate with audit systems."
09.0 Communications & Operations Management,09.02 Third Party Service Delivery,09.f Monitoring and Review of Third Party Services,Controls must be in place to ensure the integrity and authenticity of messages transmitted across systems.,"1. Are mechanisms implemented to protect message integrity?
2. Are digital signatures or hashing techniques used?
3. Are integrity failures detected and investigated?",Vendor risk assessment; Contract clauses; Compliance reports,Basic checksum or hashing methods are used to verify message integrity where required.,Digital signatures and cryptographic integrity checks are applied systematically across key systems.,End-to-end cryptographic integrity verification and real-time monitoring detect and respond to message tampering attempts.
09.0 Communications & Operations Management,09.02 Third Party Service Delivery,09.g Managing Changes to Third Party Services,"Output data must be validated to ensure accuracy, completeness, and secure delivery.","1. Are output data validation checks implemented?
2. Are exceptions logged and corrected?
3. Are output delivery processes secured?",Vendor risk assessment; Contract clauses; Compliance reports,Output data is validated using basic error checks before release.,"Validation rules are defined systematically, with automated exception logging and review processes.",Automated output validation frameworks enforce accuracy and secure delivery with compliance dashboards.
09.0 Communications & Operations Management,09.03 System Planning & Acceptance,09.h Capacity Management,"Controls must ensure that internal data processing remains secure, accurate, and complete.","1. Are internal processing controls defined?
2. Are logs of errors or anomalies maintained?
3. Are discrepancies reviewed by management?",Applicable policy document; Implementation procedure; Sample logs/reports,Internal checks are applied manually to detect processing errors.,"Systematic controls enforce accuracy, with logs and review workflows for discrepancies.",Automated monitoring validates internal processing continuously and integrates with SIEM/audit systems.
09.0 Communications & Operations Management,09.03 System Planning & Acceptance,09.i System Acceptance,System test data must be protected to prevent unauthorized disclosure of sensitive or production data used in testing.,"1. Is test data sanitized or anonymized?
2. Are controls preventing unauthorized access applied?
3. Are test data storage and usage logged?",Applicable policy document; Implementation procedure; Sample logs/reports,Test data is sanitized manually before use in lower environments.,"Policies require anonymization or tokenization, with storage protections and access reviews.","Automated data masking/tokenization ensures test environments cannot expose production data, with continuous compliance monitoring."
09.0 Communications & Operations Management,09.04 Protection Against Malicious/Mobile Code,09.j Controls Against Malicious Code,"Strict access control must be applied to program source code to prevent unauthorized access, modification, or distribution.","1. Is source code access restricted to authorized developers?
2. Are changes logged and reviewed?
3. Are controls in place to detect unauthorized access attempts?",Access control policy; User registration/de-registration logs; Privileged access request forms; Access review reports,Source code repositories enforce basic access controls and permissions.,Code changes require approvals via pull requests and are logged for auditability.,"Advanced CI/CD pipelines enforce least-privilege access, continuous monitoring, and anomaly detection for source code security."
09.0 Communications & Operations Management,09.04 Protection Against Malicious/Mobile Code,09.k Controls Against Mobile Code,Secure areas must be defined and protected with physical and logical controls appropriate to the criticality of the information systems housed.,"1. Are secure areas identified and documented?
2. Are physical controls applied?
3. Is compliance monitored and reviewed?",Applicable policy document; Implementation procedure; Sample logs/reports,Secure areas are documented and basic access restrictions applied.,"Physical security controls such as CCTV, access badges, and security guards are applied and reviewed periodically.","Biometric systems, integrated monitoring, and automated alerts enforce compliance with secure area requirements."
09.0 Communications & Operations Management,09.05 Information Backup,09.l Information Backup,Physical security perimeters must protect critical facilities from unauthorized access or environmental risks.,"1. Are perimeters clearly defined?
2. Are barriers and entry points controlled?
3. Are perimeters reviewed regularly for effectiveness?",Backup logs; BCP/DR plan; Restore test reports; BIA reports,Basic barriers and locks secure the facility perimeter.,Controlled entry points and monitoring ensure compliance with perimeter security requirements.,Integrated smart monitoring systems track and enforce physical perimeter security in real time.
09.0 Communications & Operations Management,09.06 Network Security Management,09.m Network Controls,Physical entry controls must restrict access to authorized personnel and log entry attempts.,"1. Are entry controls implemented at all access points?
2. Are entry attempts logged and reviewed?
3. Is visitor access controlled?",Network access control policy; Firewall/IDS configs; Network segmentation diagram; VPN usage logs,"Locks and access badges control entry to facilities, with visitor logs maintained manually.","Electronic access systems enforce entry restrictions and log attempts, with reviews conducted by security teams.","Biometric controls, automated visitor management, and integrated monitoring provide continuous entry control and logging."
09.0 Communications & Operations Management,09.06 Network Security Management,09.n Security of Network Services,"Offices, rooms, and facilities must be secured to protect assets and systems from unauthorized access, theft, or damage.","1. Are offices and rooms secured appropriately?
2. Are physical protections reviewed periodically?
3. Are unauthorized access attempts investigated?",Network access control policy; Firewall/IDS configs; Network segmentation diagram; VPN usage logs,Locks and physical barriers protect critical offices and rooms.,"CCTV, monitored access points, and security staff enforce physical security controls.",Advanced smart building technologies continuously monitor and respond to physical security risks.
09.0 Communications & Operations Management,09.07 Media Handling,09.o Media Handling,"Facilities must be protected against external and environmental threats such as fire, flood, and power failure.","1. Are physical safeguards implemented against external/environmental threats?
2. Are systems tested regularly?
3. Are incidents recorded and reviewed?",Applicable policy document; Implementation procedure; Sample logs/reports,"Fire extinguishers, UPS, and surge protection provide basic safeguards.","Fire suppression systems, redundant power, and monitoring of external risks are in place.",Automated building management systems monitor threats continuously and activate preventive/protective measures.
09.0 Communications & Operations Management,09.07 Media Handling,09.p Disposal of Media,Policies must define and enforce rules for staff working in secure areas to prevent security breaches or negligence.,"1. Are rules for working in secure areas documented?
2. Are staff trained and compliant?
3. Is compliance reviewed regularly?",Applicable policy document; Implementation procedure; Sample logs/reports,Policies are documented and staff are trained on working in secure areas.,Supervisors enforce compliance with monitoring and regular reviews of activities.,Real-time monitoring and alerts enforce compliance automatically and generate reports for management.
09.0 Communications & Operations Management,09.07 Media Handling,09.q Information Handling Procedures,"Public access, delivery, and loading areas must be controlled to prevent unauthorized access to secure facilities.","1. Are public/delivery areas segregated from secure facilities?
2. Are controls implemented for monitoring?
3. Are access logs reviewed?",Applicable policy document; Implementation procedure; Sample logs/reports,"Physical segregation is maintained between public and secure areas, with manual logs kept for deliveries.","Controlled access points, CCTV, and monitoring enforce security for delivery and loading areas.",Smart visitor management and monitoring systems continuously enforce segregation and log activities.
09.0 Communications & Operations Management,09.07 Media Handling,09.r Security of System Documentation,"Equipment must be sited and protected to reduce risks of unauthorized access, environmental hazards, and physical damage.","1. Is equipment sited securely?
2. Are protections in place against environmental threats?
3. Are inspections and reviews conducted?",Applicable policy document; Implementation procedure; Sample logs/reports,Equipment is placed in secure areas with basic protections against risks.,Environmental controls and restricted access safeguard critical equipment.,Automated monitoring systems track environmental conditions and trigger alerts for equipment protection.
09.0 Communications & Operations Management,09.08 Exchange of Information,09.s Information Exchange Policies and Procedures,"Supporting utilities such as electricity, water, and communication services must be protected and monitored to maintain availability.","1. Are utilities identified and protected?
2. Are redundant utilities in place?
3. Are monitoring and testing conducted?",Applicable policy document; Implementation procedure; Sample logs/reports,Basic utilities protections such as surge protectors and UPS are used.,Redundant systems such as generators and backup telecom links ensure continuity.,Automated utility monitoring with predictive failure detection ensures uninterrupted services.
09.0 Communications & Operations Management,09.08 Exchange of Information,09.t Exchange Agreements,"Power and telecommunication cables must be protected against interception, damage, or tampering.","1. Are cable routes documented and secured?
2. Are protective conduits used?
3. Are periodic inspections performed?",Applicable policy document; Implementation procedure; Sample logs/reports,Cable routes are documented and protected with conduits where possible.,"Physical inspections are performed, and protective controls applied across facilities.",Real-time monitoring systems track cable integrity and generate alerts for tampering or failures.
09.0 Communications & Operations Management,09.08 Exchange of Information,09.u Security of Media in Transit,"Equipment must be properly maintained to ensure continued availability, security, and reliability.","1. Are equipment maintenance schedules documented?
2. Are records of maintenance retained?
3. Are secure practices enforced during maintenance?",Applicable policy document; Implementation procedure; Sample logs/reports,Maintenance schedules are documented and tracked manually.,Centralized systems track maintenance activities and vendor compliance.,"Automated maintenance platforms ensure timely servicing, secure practices, and audit-ready records."
09.0 Communications & Operations Management,09.08 Exchange of Information,09.v Electronic Messaging,"Equipment taken off-premises must be protected against unauthorized access, loss, or theft.","1. Are off-premises equipment security requirements documented?
2. Are protections like encryption and locks applied?
3. Is compliance reviewed?",Applicable policy document; Implementation procedure; Sample logs/reports,Policies require staff to physically protect off-premises equipment and apply passwords.,"Encryption and protective cases are enforced, with compliance verified through audits.","MDM solutions enforce encryption, remote wipe, and compliance monitoring for off-premises devices."
09.0 Communications & Operations Management,09.08 Exchange of Information,09.w Business Information Systems,Equipment must be securely disposed of or sanitized before reuse to prevent unauthorized disclosure of sensitive data.,"1. Are secure disposal/reuse procedures defined?
2. Is data destroyed or sanitized before reuse?
3. Are disposal activities documented?",Applicable policy document; Implementation procedure; Sample logs/reports,Basic wiping of data is conducted before reuse or disposal of equipment.,Certified destruction services or sanitization procedures are applied with documented evidence.,Automated sanitization and certified disposal vendors provide auditable destruction certificates for all devices.
09.0 Communications & Operations Management,09.09 Online Transactions,09.x Electronic Commerce,Procedures must govern the removal of property from premises to prevent unauthorized loss of assets or data.,"1. Are removal procedures documented?
2. Is approval required before property removal?
3. Are removal logs maintained?",Applicable policy document; Implementation procedure; Sample logs/reports,"Procedures require approval for property removal, with manual logging maintained.",Approval workflows enforce documentation and periodic reviews of removal logs.,Automated workflows and monitoring systems enforce property removal policies and generate audit-ready records.
09.0 Communications & Operations Management,09.09 Online Transactions,09.y On-line Transactions,"Security requirements must be identified, analyzed, and integrated into system specifications and development processes.","1. Are security requirements defined for new systems?
2. Are requirements integrated into design specifications?
3. Are requirements reviewed and approved?",Applicable policy document; Implementation procedure; Sample logs/reports,Security requirements are identified during initial project planning.,"Requirements are formally documented, reviewed, and integrated into system design processes.","Automated tools enforce security requirement inclusion in specifications, with reviews tracked in GRC systems."
09.0 Communications & Operations Management,09.09 Online Transactions,09.z Publicly Available Information,"Controls must ensure applications process data accurately, completely, and securely.","1. Are application processing controls implemented?
2. Are discrepancies logged?
3. Are results validated and reviewed?",Applicable policy document; Implementation procedure; Sample logs/reports,Applications include basic validation checks to ensure processing accuracy.,Systematic controls validate application processing accuracy and completeness with logging and reviews.,Automated monitoring validates application processing continuously and integrates with audit and compliance tools.
09.0 Communications & Operations Management,09.10 Monitoring,09.aa Event Logging,"Applications must implement cryptographic controls to protect sensitive data during processing, storage, and transmission.","1. Are cryptographic controls implemented in applications?
2. Are encryption standards followed?
3. Are cryptographic processes reviewed?",Applicable policy document; Implementation procedure; Sample logs/reports,Applications use basic encryption for sensitive fields.,"Cryptographic controls follow industry standards (e.g., AES, TLS) and are reviewed periodically.","Automated tools enforce cryptographic policies in applications, with continuous monitoring and alerts for compliance gaps."
09.0 Communications & Operations Management,09.10 Monitoring,09.ab Protection of Log Information,"Application services accessible via public networks must be secured against unauthorized access, tampering, and disclosure.","1. Are application services secured against public threats?
2. Are encryption and authentication applied?
3. Are services tested regularly?",Network access control policy; Firewall/IDS configs; Network segmentation diagram; VPN usage logs,Public applications use TLS and basic authentication controls.,"Advanced authentication (e.g., MFA), WAF, and vulnerability testing are applied to public-facing services.","Continuous monitoring, automated pen testing, and adaptive defenses protect public application services in real time."
09.0 Communications & Operations Management,09.10 Monitoring,09.ac Administrator and Operator Logs,"Controls must protect transactions performed by application services to ensure confidentiality, integrity, and non-repudiation.","1. Are transaction protections implemented?
2. Are encryption and integrity checks applied?
3. Are non-repudiation mechanisms enforced?",Applicable policy document; Implementation procedure; Sample logs/reports,Basic transaction protections use encryption and logging of activities.,Advanced cryptographic integrity checks and non-repudiation controls are enforced for sensitive transactions.,"End-to-end cryptographic protections, digital signatures, and blockchain-based audit trails secure all transactions."
09.0 Communications & Operations Management,09.10 Monitoring,09.ad Fault Logging,Applications must be technically reviewed and tested after changes to operating systems to ensure continued functionality and security.,"1. Are applications reviewed after OS changes?
2. Are security tests performed following updates?
3. Are test results documented and approved?",Applicable policy document; Implementation procedure; Sample logs/reports,Applications are manually tested for compatibility and functionality after major OS updates.,"Structured regression and security testing is performed after OS changes, with results reviewed by management.","Automated regression and security test suites validate applications after OS or platform changes, with continuous integration pipelines providing assurance."
09.0 Communications & Operations Management,09.10 Monitoring,09.ae Clock Synchronization,Changes to vendor-supplied software packages must be strictly controlled and documented to maintain integrity and supportability.,"1. Are vendor package modifications restricted?
2. Are justifications documented?
3. Are modified packages tested and approved?",Vendor risk assessment; Contract clauses; Compliance reports,Changes to vendor software are minimized and justified with manual records.,Change control processes enforce review and approval before modifying vendor software packages.,"Automated change tracking tools log and validate modifications, ensuring vendor support and compliance with integrity requirements."
