Reference,Description,Initial Assessment Points,Evidence/Artifact,Clause,Findings,Status
DCS-01.3,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the secure disposal of equipment used outside the organization’ s premises. If the equipment is not physically destroyed a data destruction procedure that renders recovery of information impossible must be applied. Review and update the policy and procedures at least annually.","1. Are policies and procedures for the secure disposal of equipment used outside the organization's premises reviewed and updated at least annually?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-02.1,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the relocation or transfer of hardware, software, or data/ information to an offsite or alternate location. The relocation or transfer request requires the written or cryptographically verifiable authorization. Review and update the policies and procedures at least annually.","1. Are policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location established, documented, approved, communicated, implemented, enforced, maintained?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-02.2,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the relocation or transfer of hardware, software, or data/ information to an offsite or alternate location. The relocation or transfer request requires the written or cryptographically verifiable authorization. Review and update the policies and procedures at least annually.","1. Does a relocation or transfer request require written or cryptographically verifiable authorization?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-02.3,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the relocation or transfer of hardware, software, or data/ information to an offsite or alternate location. The relocation or transfer request requires the written or cryptographically verifiable authorization. Review and update the policies and procedures at least annually.","1. Are policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location reviewed and updated at least annually?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-03.1,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for maintaining a safe and secure working environment in offices, rooms, and facilities. Review and update the policies and procedures at least annually.","1. Are policies and procedures for maintaining a safe and secure working environment (in offices, rooms, and facilities) established, documented, approved, communicated, enforced, and maintained?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-03.2,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for maintaining a safe and secure working environment in offices, rooms, and facilities. Review and update the policies and procedures at least annually.","1. Are policies and procedures for maintaining safe, secure working environments (e.g., offices, rooms) reviewed and updated at least annually?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-04.1,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the secure transportation of physical media. Review and update the policies and procedures at least annually.","1. Are policies and procedures for the secure transportation of physical media established, documented, approved, communicated, enforced, evaluated, and maintained?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-04.2,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the secure transportation of physical media. Review and update the policies and procedures at least annually.","1. Are policies and procedures for the secure transportation of physical media reviewed and updated at least annually?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-05.1,"Classify and document the physical, and logical assets (e.g., applications) based on the organizational business risk.","1. Is the classification and documentation of physical and logical assets based on the organizational business risk?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; Risk assessment report and treatment plan; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-06.1,Catalogue and track all relevant physical and logical assets located at all of the CSP’ s sites within a secured system.,"1. Are all relevant physical and logical assets at all CSP sites cataloged and tracked within a secured system?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-07.1,"Implement physical security perimeters to safeguard personnel, data, and information systems. Establish physical security perimeters between the administrative and business areas and the data storage and processing facilities areas.","1. Are physical security perimeters implemented to safeguard personnel, data, and information systems?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-07.2,"Implement physical security perimeters to safeguard personnel, data, and information systems. Establish physical security perimeters between the administrative and business areas and the data storage and processing facilities areas.","1. Are physical security perimeters established between administrative and business areas, data storage, and processing facilities?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-08.1,Use equipment identification as a method for connection authentication.,"1. Is equipment identification used as a method for connection authentication?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-09.1,"Allow only authorized personnel access to secure areas, with all ingress and egress points restricted, documented, and monitored by physical access control mechanisms. Retain access control records on a periodic basis as deemed appropriate by the organization.","1. Are solely authorized personnel able to access secure areas, with all ingress and egress areas restricted, documented, and monitored by physical access control mechanisms?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-09.2,"Allow only authorized personnel access to secure areas, with all ingress and egress points restricted, documented, and monitored by physical access control mechanisms. Retain access control records on a periodic basis as deemed appropriate by the organization.","1. Are access control records retained periodically, as deemed appropriate by the organization?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-10.1,"Implement, maintain, and operate datacenter surveillance systems at the external perimeter and at all the ingress and egress points to detect unauthorized ingress and egress attempts.","1. Are external perimeter datacenter surveillance systems and surveillance systems at all ingress and egress points implemented, maintained, and operated?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-11.1,Train datacenter personnel to respond to unauthorized ingress or egress attempts.,"1. Are datacenter personnel trained to respond to unauthorized access or egress attempts?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-12.1,"Define, implement and evaluate processes, procedures and technical measures that ensure a risk-based protection of power and telecommunication cables from a threat of interception, interference or damage at all facilities, offices and rooms.","1. Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure risk-based protection of power and telecommunication cables from interception, interference, or damage threats at all facilities, offices, and rooms?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; Risk assessment report and treatment plan; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-13.1,"Implement and maintain data center environmental control systems that monitor, maintain and test for continual effectiveness the temperature and humidity conditions within accepted industry standards. 28 © Copyright 2021, Cloud Security Alliance. All rights reserved.","1. Are data center environmental control systems designed to monitor, maintain, and test that on-site temperature and humidity conditions fall within accepted industry standards effectively implemented and maintained?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-14.1,"Secure, monitor, maintain, and test utilities services for continual effectiveness at planned intervals.","1. Are utility services secured, monitored, maintained, and tested at planned intervals for continual effectiveness?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DCS-15.1,Keep business-critical equipment away from locations subject to high probability for environmental risk events.,"1. Is business-critical equipment segregated from locations subject to a high probability of environmental risk events?
2. Verify physical security controls for data centers (perimeter, mantraps, CCTV, guards, visitor management) are defined and implemented.
3. Confirm environmental protections (power, cooling, fire detection/suppression) and monitoring are documented and tested.
4. Check asset location, rack security, and media handling/disposal procedures meet policy and standards.
5. Review continuity arrangements for facilities (redundancy, alternate sites) and test evidence.","Data classification policy and standards; Data inventory with classification tags; Labeling/handling procedures; Data discovery/monitoring scan reports; Relevant policy/standard document with version history; Risk assessment report and treatment plan; BCP/DR plans, backup logs, and restore/test results","Datacenter
Security",,
DSP-01.1,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the classification, protection and handling of data throughout its lifecycle, and according to all applicable laws and regulations, standards, and risk level. Review and update the policies and procedures at least annually.","1. Are policies and procedures established, documented, approved, communicated, enforced, evaluated, and maintained for the classification, protection, and handling of data throughout its lifecycle according to all applicable laws and regulations, standards, and risk level?
2. Verify data classification and handling standards cover the full privacy & security lifecycle (collection, use, storage, sharing, retention, deletion).
3. Confirm lawful basis documentation and purpose limitation for processing; DPIA/PIA performed where required.
4. Check data minimization, accuracy, retention schedules, and secure disposal with evidence.
5. Verify controls for data in transit/at rest (encryption, access control, monitoring) and data sharing agreements with third parties.
6. Confirm mechanisms for data subject rights and incident response involving personal data.",Data security policy (at rest/in transit); Encryption standards and key requirements; Access control standards; Data leakage prevention (DLP) configs/reports; Relevant policy/standard document with version history; Risk assessment report and treatment plan; Encryption/crypto configuration evidence and key lifecycle records,"Data
Security &
Privacy ",,
DSP-01.2,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the classification, protection and handling of data throughout its lifecycle, and according to all applicable laws and regulations, standards, and risk level. Review and update the policies and procedures at least annually.","1. Are data security and privacy policies and procedures reviewed and updated at least annually?
2. Verify data classification and handling standards cover the full privacy & security lifecycle (collection, use, storage, sharing, retention, deletion).
3. Confirm lawful basis documentation and purpose limitation for processing; DPIA/PIA performed where required.
4. Check data minimization, accuracy, retention schedules, and secure disposal with evidence.
5. Verify controls for data in transit/at rest (encryption, access control, monitoring) and data sharing agreements with third parties.
6. Confirm mechanisms for data subject rights and incident response involving personal data.",Data security policy (at rest/in transit); Encryption standards and key requirements; Access control standards; Data leakage prevention (DLP) configs/reports; Relevant policy/standard document with version history; Risk assessment report and treatment plan; Encryption/crypto configuration evidence and key lifecycle records,"Data
Security &
Privacy ",,
DSP-02.1,Apply industry accepted methods for the secure disposal of data from storage media such that data is not recoverable by any forensic means.,"1. Are industry-accepted methods applied for secure data disposal from storage media so information is not recoverable by any forensic means?
2. Verify data classification and handling standards cover the full privacy & security lifecycle (collection, use, storage, sharing, retention, deletion).
3. Confirm lawful basis documentation and purpose limitation for processing; DPIA/PIA performed where required.
4. Check data minimization, accuracy, retention schedules, and secure disposal with evidence.
5. Verify controls for data in transit/at rest (encryption, access control, monitoring) and data sharing agreements with third parties.
6. Confirm mechanisms for data subject rights and incident response involving personal data.",Data security policy (at rest/in transit); Encryption standards and key requirements; Access control standards; Data leakage prevention (DLP) configs/reports; Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records,"Data
Security &
Privacy ",,
DSP-03.1,"Create and maintain a data inventory, at least for any sensitive data and personal data.","1. Is a data inventory created and maintained for sensitive and personal information (at a minimum)?
2. Verify data classification and handling standards cover the full privacy & security lifecycle (collection, use, storage, sharing, retention, deletion).
3. Confirm lawful basis documentation and purpose limitation for processing; DPIA/PIA performed where required.
4. Check data minimization, accuracy, retention schedules, and secure disposal with evidence.
5. Verify controls for data in transit/at rest (encryption, access control, monitoring) and data sharing agreements with third parties.
6. Confirm mechanisms for data subject rights and incident response involving personal data.",Data security policy (at rest/in transit); Encryption standards and key requirements; Access control standards; Data leakage prevention (DLP) configs/reports; Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records,"Data
Security &
Privacy ",,
DSP-04.1,"Classify data according to its type and sensitivity level. 31 © Copyright 2021, Cloud Security Alliance. All rights reserved.","1. Is data classified according to type and sensitivity levels?
2. Verify data classification and handling standards cover the full privacy & security lifecycle (collection, use, storage, sharing, retention, deletion).
3. Confirm lawful basis documentation and purpose limitation for processing; DPIA/PIA performed where required.
4. Check data minimization, accuracy, retention schedules, and secure disposal with evidence.
5. Verify controls for data in transit/at rest (encryption, access control, monitoring) and data sharing agreements with third parties.
6. Confirm mechanisms for data subject rights and incident response involving personal data.",Data security policy (at rest/in transit); Encryption standards and key requirements; Access control standards; Data leakage prevention (DLP) configs/reports; Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records,"Data
Security &
Privacy ",,
DSP-05.1,"Create data flow documentation to identify what data is processed, stored or transmitted where. Review data flow documentation at defined intervals, at least annually, and after any change.","1. Is data flow documentation created to identify what data is processed and where it is stored and transmitted?
2. Verify data classification and handling standards cover the full privacy & security lifecycle (collection, use, storage, sharing, retention, deletion).
3. Confirm lawful basis documentation and purpose limitation for processing; DPIA/PIA performed where required.
4. Check data minimization, accuracy, retention schedules, and secure disposal with evidence.
5. Verify controls for data in transit/at rest (encryption, access control, monitoring) and data sharing agreements with third parties.
6. Confirm mechanisms for data subject rights and incident response involving personal data.",Data security policy (at rest/in transit); Encryption standards and key requirements; Access control standards; Data leakage prevention (DLP) configs/reports; Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records,"Data
Security &
Privacy ",,
DSP-05.2,"Create data flow documentation to identify what data is processed, stored or transmitted where. Review data flow documentation at defined intervals, at least annually, and after any change.","1. Is data flow documentation reviewed at defined intervals, at least annually, and after any change?
2. Verify data classification and handling standards cover the full privacy & security lifecycle (collection, use, storage, sharing, retention, deletion).
3. Confirm lawful basis documentation and purpose limitation for processing; DPIA/PIA performed where required.
4. Check data minimization, accuracy, retention schedules, and secure disposal with evidence.
5. Verify controls for data in transit/at rest (encryption, access control, monitoring) and data sharing agreements with third parties.
6. Confirm mechanisms for data subject rights and incident response involving personal data.",Data security policy (at rest/in transit); Encryption standards and key requirements; Access control standards; Data leakage prevention (DLP) configs/reports; Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records,"Data
Security &
Privacy ",,
DSP-06.1,Document ownership and stewardship of all relevant documented personal and sensitive data. Perform review at least annually.,"1. Is the ownership and stewardship of all relevant personal and sensitive data documented?
2. Verify data classification and handling standards cover the full privacy & security lifecycle (collection, use, storage, sharing, retention, deletion).
3. Confirm lawful basis documentation and purpose limitation for processing; DPIA/PIA performed where required.
4. Check data minimization, accuracy, retention schedules, and secure disposal with evidence.
5. Verify controls for data in transit/at rest (encryption, access control, monitoring) and data sharing agreements with third parties.
6. Confirm mechanisms for data subject rights and incident response involving personal data.",Data security policy (at rest/in transit); Encryption standards and key requirements; Access control standards; Data leakage prevention (DLP) configs/reports; Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records,"Data
Security &
Privacy ",,
DSP-06.2,Document ownership and stewardship of all relevant documented personal and sensitive data. Perform review at least annually.,"1. Is data ownership and stewardship documentation reviewed at least annually?
2. Verify data classification and handling standards cover the full privacy & security lifecycle (collection, use, storage, sharing, retention, deletion).
3. Confirm lawful basis documentation and purpose limitation for processing; DPIA/PIA performed where required.
4. Check data minimization, accuracy, retention schedules, and secure disposal with evidence.
5. Verify controls for data in transit/at rest (encryption, access control, monitoring) and data sharing agreements with third parties.
6. Confirm mechanisms for data subject rights and incident response involving personal data.",Data security policy (at rest/in transit); Encryption standards and key requirements; Access control standards; Data leakage prevention (DLP) configs/reports; Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records,"Data
Security &
Privacy ",,
DSP-07.1,"Develop systems, products, and business practices based upon a principle of security by design and industry best practices.","1. Are systems, products, and business practices based on security principles by design and per industry best practices?
2. Verify data classification and handling standards cover the full privacy & security lifecycle (collection, use, storage, sharing, retention, deletion).
3. Confirm lawful basis documentation and purpose limitation for processing; DPIA/PIA performed where required.
4. Check data minimization, accuracy, retention schedules, and secure disposal with evidence.
5. Verify controls for data in transit/at rest (encryption, access control, monitoring) and data sharing agreements with third parties.
6. Confirm mechanisms for data subject rights and incident response involving personal data.",Data security policy (at rest/in transit); Encryption standards and key requirements; Access control standards; Data leakage prevention (DLP) configs/reports; Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records,"Data
Security &
Privacy ",,
DSP-08.1,"Develop systems, products, and business practices based upon a principle of privacy by design and industry best practices. Ensure that systems’ privacy settings are configured by default, according to all applicable laws and regulations.","1. Are systems, products, and business practices based on privacy principles by design and according to industry best practices?
2. Verify data classification and handling standards cover the full privacy & security lifecycle (collection, use, storage, sharing, retention, deletion).
3. Confirm lawful basis documentation and purpose limitation for processing; DPIA/PIA performed where required.
4. Check data minimization, accuracy, retention schedules, and secure disposal with evidence.
5. Verify controls for data in transit/at rest (encryption, access control, monitoring) and data sharing agreements with third parties.
6. Confirm mechanisms for data subject rights and incident response involving personal data.",Data security policy (at rest/in transit); Encryption standards and key requirements; Access control standards; Data leakage prevention (DLP) configs/reports; Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records,"Data
Security &
Privacy ",,
DSP-08.2,"Develop systems, products, and business practices based upon a principle of privacy by design and industry best practices. Ensure that systems’ privacy settings are configured by default, according to all applicable laws and regulations.","1. Are systems' privacy settings configured by default and according to all applicable laws and regulations?
2. Verify data classification and handling standards cover the full privacy & security lifecycle (collection, use, storage, sharing, retention, deletion).
3. Confirm lawful basis documentation and purpose limitation for processing; DPIA/PIA performed where required.
4. Check data minimization, accuracy, retention schedules, and secure disposal with evidence.
5. Verify controls for data in transit/at rest (encryption, access control, monitoring) and data sharing agreements with third parties.
6. Confirm mechanisms for data subject rights and incident response involving personal data.",Data security policy (at rest/in transit); Encryption standards and key requirements; Access control standards; Data leakage prevention (DLP) configs/reports; Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records,"Data
Security &
Privacy ",,
DSP-09.1,"Conduct a Data Protection Impact Assessment (DPIA) to evaluate the origin, nature, particularity and severity of the risks upon the processing of personal data, according to any applicable laws, regulations and industry best practices.","1. Is a data protection impact assessment (DPIA) conducted when processing personal data and evaluating the origin, nature, particularity, and severity of risks according to any applicable laws, regulations and industry best practices?
2. Verify data classification and handling standards cover the full privacy & security lifecycle (collection, use, storage, sharing, retention, deletion).
3. Confirm lawful basis documentation and purpose limitation for processing; DPIA/PIA performed where required.
4. Check data minimization, accuracy, retention schedules, and secure disposal with evidence.
5. Verify controls for data in transit/at rest (encryption, access control, monitoring) and data sharing agreements with third parties.
6. Confirm mechanisms for data subject rights and incident response involving personal data.",Data security policy (at rest/in transit); Encryption standards and key requirements; Access control standards; Data leakage prevention (DLP) configs/reports; Relevant policy/standard document with version history; Risk assessment report and treatment plan; Encryption/crypto configuration evidence and key lifecycle records,"Data
Security &
Privacy ",,
DSP-10.1,"Define, implement and evaluate processes, procedures and technical measures that ensure any transfer of personal or sensitive data is protected from unauthorized access and only processed within scope as permitted by the respective laws and regulations.","1. Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure any transfer of personal or sensitive data is protected from unauthorized access and only processed within scope (as permitted by respective laws and regulations)?
2. Verify data classification and handling standards cover the full privacy & security lifecycle (collection, use, storage, sharing, retention, deletion).
3. Confirm lawful basis documentation and purpose limitation for processing; DPIA/PIA performed where required.
4. Check data minimization, accuracy, retention schedules, and secure disposal with evidence.
5. Verify controls for data in transit/at rest (encryption, access control, monitoring) and data sharing agreements with third parties.
6. Confirm mechanisms for data subject rights and incident response involving personal data.",Data security policy (at rest/in transit); Encryption standards and key requirements; Access control standards; Data leakage prevention (DLP) configs/reports; Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records,"Data
Security &
Privacy ",,
DSP-11.1,"Define and implement processes, procedures and technical measures to enable data subjects to request access to, modification, or deletion of their personal data, according to any applicable laws and regulations. 35 © Copyright 2021, Cloud Security Alliance. All rights reserved.","1. Are processes, procedures, and technical measures defined, implemented, and evaluated to enable data subjects to request access to, modify, or delete personal data (per applicable laws and regulations)?
2. Verify data classification and handling standards cover the full privacy & security lifecycle (collection, use, storage, sharing, retention, deletion).
3. Confirm lawful basis documentation and purpose limitation for processing; DPIA/PIA performed where required.
4. Check data minimization, accuracy, retention schedules, and secure disposal with evidence.
5. Verify controls for data in transit/at rest (encryption, access control, monitoring) and data sharing agreements with third parties.
6. Confirm mechanisms for data subject rights and incident response involving personal data.",Data security policy (at rest/in transit); Encryption standards and key requirements; Access control standards; Data leakage prevention (DLP) configs/reports; Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records,"Data
Security &
Privacy ",,
