Reference,Clause,Description,Initial Assessment Points,Evidence/Artifact,Status
A.9.2.5,Review of user access rights,"Periodically review user and privileged access rights, with special attention to break‑glass use, VIP/patient‑employee access, and role changes. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are quarterly access reviews performed and evidenced? 2. Are high‑risk access (VIPs, relatives) flagged for review? 3. Are changes/removals tracked to completion?","Risk Assessment Reports, Risk Treatment Plan, Compliance Register; Access Control Matrix, SOPs, Audit Logs",
A.9.2.6,Removal or adjustment of access rights,"Promptly remove or adjust access on termination, leave, rotation, or role change; handle cross‑site and temporary privileges. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are access removals automated via HR/roster events? 2. Are temporary privileges time‑boxed and reviewed? 3. Are badges/cards/tokens revoked and collected?,"Access Control Matrix, SOPs, Audit Logs",
A.9.3.1,Use of secret authentication information,"Educate users on protection of secrets; prohibit credential sharing and insecure recording; enforce MFA for remote/privileged access. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Is user guidance provided and acknowledged? 2. Is credential sharing detectable and sanctioned? 3. Is MFA enforced for remote/privileged access?,"Access Control Matrix, SOPs, Audit Logs",
A.9.4.1,Information access restriction (clinical),"Restrict access to PHI and clinical functions according to policy, need‑to‑know, and privacy consents; apply field‑level controls when needed. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are EHR views restricted based on role and consent? 2. Are sensitive fields (e.g., mental health, HIV) additionally protected? 3. Are audit trails used to verify restrictions are effective?","Information Security Policy, Privacy Policy, Health IS Charter; Access Control Matrix, SOPs, Audit Logs",
A.9.4.2,Secure log‑on procedures,"Implement secure log‑on with MFA as appropriate; balance session timeouts with clinical safety and availability at point of care. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are secure log‑on mechanisms configured consistently? 2. Are session timeouts tuned to clinical workflows? 3. Are kiosk/shared workstations controlled and monitored?,,
A.9.4.3,Password management system,"Use centralized identity/password management with complexity, rotation, and non‑reusable history; provide self‑service reset with identity verification. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are password policies enforced via central IdM? 2. Is self‑service reset secure (identity proofing)? 3. Are default/vendor passwords eliminated?,"Vendor Risk Assessment Reports, Data Sharing Agreements",
A.9.4.4,Use of privileged utility programs,"Restrict and monitor privileged utilities that could bypass controls on clinical systems; segregate admin environments. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are privileged tools whitelisted and access‑controlled? 2. Are sessions recorded and reviewed for critical use? 3. Are admin workstations isolated from clinical networks?,"Access Control Matrix, SOPs, Audit Logs",
A.9.4.5,Access control to program source code,"Protect application source code for clinical systems; limit access to authorized developers; enforce change control and code review. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Is access to source code restricted and logged? 2. Are code changes reviewed and approved via SDLC controls? 3. Are secrets kept out of repositories and scanned?,"Access Control Matrix, SOPs, Audit Logs",
A.10.1.1,Policy on the use of cryptographic controls (PHI),"Define when and how encryption and related controls are applied to PHI (at rest, in transit, and in use), including for telemedicine, backups, mobile devices, and integrations. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Is there a formal crypto policy covering PHI scenarios and algorithms? 2. Are encryption requirements defined for databases, endpoints, backups, and interfaces? 3. Are exceptions risk‑assessed and approved with compensating controls?","Information Security Policy, Privacy Policy, Health IS Charter; Risk Assessment Reports, Risk Treatment Plan, Compliance Register; Encryption Procedures, Key Management Records",
A.10.1.2,Key management,"Establish secure key lifecycle management (generation, storage, distribution, rotation, revocation) using KMS/HSM where appropriate; segregate duties. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are keys managed via approved KMS/HSM with rotation policies? 2. Are key custodians and SoD defined and enforced? 3. Are key backups protected and recovery tested?,,
A.11.1.1,Physical security perimeter (clinical & data centers),"Define and protect physical perimeters for data centers, network rooms, pharmacies, and restricted clinical areas storing/processing PHI; apply multi‑layer security. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are perimeters defined with barriers (locks, access control, CCTV)? 2. Are clinical restricted areas (ICU/OR) protected against unauthorized access? 3. Are access attempts logged and reviewed?","Access Control Matrix, SOPs, Audit Logs",
A.11.1.2,Physical entry controls,"Control entry to secure areas using ID badges, biometrics where appropriate, visitor management, and escort policies; maintain visitor logs. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are visitor identities verified, badged, and escorted where required? 2. Are tailgating controls and CCTV in place for secure rooms? 3. Are logs retained and reviewed for anomalies?",,
A.11.1.3,"Securing offices, rooms and facilities","Secure rooms housing PHI (records rooms, clinician workrooms) and clinical equipment; prevent opportunistic viewing (shoulder surfing) and unauthorized access. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are areas with PHI-secure storage and controlled access? 2. Are privacy screens used where displays face public areas? 3. Are cleaning/contractor staff vetted and controlled?,"Access Control Matrix, SOPs, Audit Logs",
A.11.1.4,Protecting against external and environmental threats,"Protect facilities against fire, flood, HVAC failure, power loss; ensure clinical service continuity and patient safety during incidents. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are environmental controls (fire suppression, leak detection) in place and tested? 2. Are UPS/generators sized and maintained for critical clinical areas? 3. Are response procedures coordinated with clinical operations?","Incident Response Plan, Incident Logs, Regulator Notifications; BCP/DR Plan, Recovery Test Reports",
A.11.1.5,Working in secure areas,"Define rules for work in secure areas (no photography of PHI, clean desk/screen, supervised third-party work, no unattended patients’ records). The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are staff trained and attest to rules for secure areas? 2. Are visitors/contractors supervised and limited to required access? 3. Are breaches investigated and sanctioned?,"Access Control Matrix, SOPs, Audit Logs",
A.11.1.6,Delivery and loading areas,"Control deliveries and loading bays to prevent unauthorized access to secure areas; segregate and monitor routes into clinical/IT spaces. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are loading areas physically separated from secure zones? 2. Are deliveries inspected and logged? 3. Are escort policies enforced for back‑of‑house access?,"Access Control Matrix, SOPs, Audit Logs",
A.11.2.1,Equipment siting and protection,"Site and protect equipment (servers, network gear, clinical workstations, medical devices) to reduce risks from unauthorized access and environmental hazards. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are devices sited away from public access and environmental risk? 2. Are racks/cabinets locked and labelled? 3. Are bedside devices protected against tampering?,"Risk Assessment Reports, Risk Treatment Plan, Compliance Register; Access Control Matrix, SOPs, Audit Logs",
A.11.2.2,Supporting utilities,"Provide reliable utilities (power, HVAC, medical gases where relevant) with redundancy and monitoring for areas supporting clinical systems. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are critical rooms on redundant power and conditioned HVAC? 2. Are alarms monitored and responded to 24×7? 3. Are maintenance and test records retained?,,
A.11.2.3,Cabling security,"Protect power and network cabling against interception or damage; secure patch panels and clinical network jack points. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are network/patch panels locked and labelled? 2. Are exposed cables protected with conduits/trunking? 3. Are wall jacks in public areas disabled or controlled?,,
A.11.2.4,Equipment maintenance,"Maintain IT and medical equipment per vendor and regulatory requirements; ensure maintenance does not compromise security or patient safety. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are maintenance schedules followed and evidenced? 2. Are vendor/biomed access controls in place during maintenance? 3. Are configurations validated post‑maintenance?,"Access Control Matrix, SOPs, Audit Logs; Vendor Risk Assessment Reports, Data Sharing Agreements; Contact Directory of Regulators, Communication Logs",
A.11.2.5,Removal of assets,"Prevent unauthorized removal of PHI-bearing assets; require approval and sanitization before removal; track chain of custody. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are asset removal procedures enforced with approvals? 2. Is PHI sanitization verified before removal? 3. Is chain‑of‑custody documented?,"Asset Register, Backup & Recovery Plans, Patch Records",
A.11.2.6,Security of equipment and assets off‑premises,"Secure devices used off‑premises (home visits, telemedicine kits) with encryption, tracking, and secure storage; minimize local PHI. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are off‑prem devices encrypted and inventoried? 2. Is local PHI storage minimized/blocked? 3. Are lost/stolen procedures defined and tested?,"Encryption Procedures, Key Management Records",
A.11.2.7,Secure disposal or re‑use of equipment,"Sanitize or destroy media/devices containing PHI prior to disposal/re‑use with certified methods; retain certificates. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are approved wipe/destruction methods used and verified? 2. Are certificates of destruction retained? 3. Are third‑party recyclers audited?,,
A.11.2.8,Unattended user equipment,"Require lock screens and secure logout on unattended clinical workstations and mobile devices; auto‑lock and session termination. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are auto‑lock settings enforced via policy? 2. Are badge‑tap or fast user switching solutions used in clinical areas? 3. Are shared kiosks configured to prevent session reuse?,"Information Security Policy, Privacy Policy, Health IS Charter",
A.11.2.9,Clear desk and clear screen policy,"Implement clear desk/screen rules to prevent incidental disclosure of PHI; secure printers and output trays. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are PHI printouts controlled and promptly removed? 2. Are privacy screens and auto‑logout enforced? 3. Is compliance monitored in audits/rounds?,"Incident Response Plan, Incident Logs, Regulator Notifications",
A.12.1.1,Documented operating procedures (clinical runbooks),"Establish documented and approved runbooks for EHR/PACS/LIS and clinical integrations, covering start/stop, backup/restore, patching, and downtime modes. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are SOPs/runbooks approved and accessible 24×7? 2. Do they include downtime and read‑only procedures for continuity of care? 3. Are restore procedures tested against RTO/RPO?,"Access Control Matrix, SOPs, Audit Logs; BCP/DR Plan, Recovery Test Reports",
A.12.1.2,Change management,"Control changes with risk assessment for patient safety and service continuity; schedule clinical downtime windows and communication plans. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are clinical risks assessed for each change and approvals recorded? 2. Are downtime windows coordinated and communicated to clinicians? 3. Are backout plans and validations documented?,"Risk Assessment Reports, Risk Treatment Plan, Compliance Register; BCP/DR Plan, Recovery Test Reports",
A.12.1.3,Capacity management,"Monitor and plan capacity/performance for clinical systems to ensure timely access at the point of care. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are performance baselines and thresholds defined for EHR and interfaces? 2. Are capacity trends reviewed with upgrade plans? 3. Are stress tests conducted before major releases?,"Access Control Matrix, SOPs, Audit Logs",
A.12.1.4,"Separation of development, test and operational environments","Separate environments; prohibit live PHI in test/dev unless formally de‑identified or approved with controls. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are environments technically and logically separated? 2. Is PHI in non‑prod prohibited or de‑identified with approvals? 3. Are test accounts and data lifecycle managed?,,
A.12.2.1,Controls against malware (including medical devices),"Deploy layered anti‑malware, application control, and network protections on endpoints, servers, and where feasible, medical devices. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are anti‑malware and application controls deployed and updated? 2. Are device constraints addressed with compensating controls? 3. Are malware incidents monitored and responded to 24×7?,"Incident Response Plan, Incident Logs, Regulator Notifications",
A.12.3.1,Information backup (PHI backups),"Back up PHI and configurations; encrypt at rest/in transit; regularly test restores to meet clinical RPO/RTO; protect against ransomware. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are backups encrypted and tested for restore effectiveness? 2. Are immutable/offline copies maintained? 3. Do backup scopes include configs, images, and databases?",,
A.12.4.1,Event logging (clinical activity),"Log access to PHI and key clinical actions; centralize and correlate logs to detect snooping and inappropriate access. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are EHR/PACS/LIS access and activity logs centralized? 2. Are analytics used to detect snooping/VIP access? 3. Are log reviews documented with follow‑up actions?,"Access Control Matrix, SOPs, Audit Logs",
A.12.4.2,Protection of log information,"Protect logs against tampering and unauthorized access; segregate duties between admins and auditors. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are logs write‑once or integrity‑protected? 2. Are admin access to logs restricted and monitored? 3. Are retention and disposal controls defined?,"Access Control Matrix, SOPs, Audit Logs",
A.12.4.3,Administrator and operator logs,"Record privileged actions by administrators and operators on clinical systems; review regularly. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are admin sessions recorded/retained? 2. Are privileged actions correlated with change tickets? 3. Are reviews performed by independent personnel?,,
A.12.4.4,Clock synchronization,"Synchronize system clocks (NTP) to ensure forensically reliable timestamps across clinical systems and devices. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are all systems/devices synchronized to trusted time sources? 2. Are time changes monitored and alerted? 3. Are logs consistent across systems for investigations?,,
A.12.5.1,Installation of software on operational systems,"Control installation of software on clinical endpoints/servers; use allow‑listing and package management; prevent unapproved software. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Is software installation restricted to authorized personnel/tools? 2. Are allow‑lists and application control in place? 3. Are exceptions time‑boxed and reviewed?,,
A.12.6.1,Management of technical vulnerabilities,"Identify, assess, and remediate vulnerabilities, including medical device advisories; apply risk‑based patching with compensating controls where patching is constrained. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are vulnerability scans and device advisories tracked to closure? 2. Are risk‑based SLAs defined for remediation? 3. Are compensating controls documented for non‑patchable devices?,"Risk Assessment Reports, Risk Treatment Plan, Compliance Register",
A.12.6.2,Restrictions on software installation,"Restrict end‑user installation of software and apps on clinical devices; provide secure alternatives for required tools. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are local admin rights minimized and monitored? 2. Are app stores/USB installs blocked where possible? 3. Are requests handled via standard, secure packaging?",,
A.12.7.1,Information systems audit controls,"Plan and conduct audits to minimize disruption to patient care; protect tools and data; coordinate scope and access with clinical operations. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are audits planned with clinical impact minimization? 2. Are audit tools access‑controlled and logs retained? 3. Are findings tracked to remediation with ownership?,"Access Control Matrix, SOPs, Audit Logs",
A.13.1.1,Network controls (clinical networks),"Design and manage networks with segmentation for biomedical devices, EHR servers, and user zones; enforce NAC and secure wireless for clinical use. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are biomedical and clinical networks segmented from enterprise/guest? 2. Is NAC enforced for device onboarding? 3. Are firewall rules reviewed and documented?,,
A.13.1.2,Security of network services,"Ensure third‑party and internal network services (VPN, HIE gateways, telemedicine platforms) have defined security controls and SLAs. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are network service security requirements defined in contracts/SLAs? 2. Are encryption and authentication enforced end‑to‑end? 3. Are changes and incidents reported with metrics?,"Incident Response Plan, Incident Logs, Regulator Notifications; Encryption Procedures, Key Management Records",
A.13.1.3,Segregation in networks,"Implement VLANs/micro‑segmentation for clinical workloads; isolate high‑risk devices and apply least privilege routing. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are critical clinical systems placed in dedicated segments? 2. Are ACLs/micro‑segmentation policies documented and tested? 3. Are east‑west traffic and lateral movement monitored?,"Risk Assessment Reports, Risk Treatment Plan, Compliance Register",
A.13.2.1,Information transfer policies and procedures (PHI),"Define secure PHI transfer policies (internal/external), including consent, minimum necessary, encryption, and approved channels. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are PHI transfers governed by policy with approved methods? 2. Are consents and minimum‑necessary enforced? 3. Are transfers logged and periodically reviewed?,"Information Security Policy, Privacy Policy, Health IS Charter; Encryption Procedures, Key Management Records",
