Clause,Reference,Description,Initial Assessment Points,Evidence/Artifact,Findings,Status
CHAPTER V,Article 33,". The international transfer of personal data is permitted solely in the following cases: I – to countries or international organizations that provide the appropriate level of protection of personal data provided for by this Law; II – where the controller provides and demonstrates guarantees of compliance with the principles, rights of the data subject and data protection regime established in this Law, in the form of: a) specific contractual sections for a given transfer; b) standard contractual sections; c) global corporate rules; d) seals, certificates and codes of conduct regularly issued; III – where the transfer is required for international legal cooperation between government intelligence, investigation and police bodies, in accordance with the international law instruments; IV – where the transfer is required for life protection or physical integrity of the data subject or any third party; V – where the supervisory authority authorizes such transfer; VI – where the transfer results in a commitment undertaken under an international cooperation agreement; VII – where the transfer is required for enforcement of a public policy or legal attribution of the public utility, upon disclosure of the provisions of item I of the main provision of article 23 of this Law; VIII – where the data subject has provided specific and highlighted consent for such transfer, with previous information on the international nature of the operation, clearly distinguishing it from any other purposes; or IX – where required to meet the hypotheses established in items II, V and VI of article 7 of this Law. Sole paragraph. For purposes of item I of this article, the legal entities of public law referred to in the sole paragraph of article 1 of Law No. 12.527 of November 18, 2011 (Access to Information Law), within the scope of their legal powers, and in charge, within the scope of their activities, may request to the supervisory authority the assessment of the level of protection to personal data granted by the international country or organization.",Does the organization obtain and manage consent appropriately as required under Article 33?,"Consent capture screens/forms (UI screenshots or form templates) ; Consent logs (timestamp, purpose, version, data subject ID) ; Consent withdrawal workflow + logs ; Privacy notice versions linked to consent collection points ; Legal basis register per purpose (matrix) ; Legitimate Interest Assessment (where applicable) ; Contractual clauses supporting 'contract' basis ; Regulatory obligation references (for 'legal obligation' basis) ; Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Cross-border transfer register ; Transfer mechanism (SCCs/adequacy/ANPD clauses) ; Transfer impact assessment (TIA) ; Contractual safeguards and onward transfer controls ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER V,Article 34,". The level of data protection of the foreign country or international organization mentioned in item I of the main provision of article 33 of this Law shall be assessed by the supervisory authority, which shall take into account: I – the general and sectorial rules of the applicable law in the country of destination or international organization; II – the data nature; III – the compliance with the general principles of protection of personal data and rights of the data subjects established in this Law; IV – the adoption of security measures provided for by regulations; V – the existence of legal and institutional guarantees for compliance with personal data protection rights; and VI – any other specific circumstances concerning the transfer.","Are data subjects fully able to exercise their rights (access, correction, deletion, portability) as specified in Article 34?","DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER V,Article 35,". The definition of the content of standard contractual sections, and the verification of specific contractual sections for a given transfer, global corporate rules, or seals, certificates and codes of conduct referred to in item II of the main provision of article 33 of this Law shall be carried out by the supervisory authority. Paragraph 1 For verification of the provisions in the main provision of this article, the requirements, conditions and minimum guarantees for transfer that comply with the rights, guarantees and principles of this Law shall be taken into account. Paragraph 2 In the analysis of contractual sections, documents or global corporate rules submitted to the supervisory authority for approval, additional information may be requested or procedures of verification of the processing operations may be carried out, as required. Paragraph 3 The supervisory authority may designate certification organizations to carry out the provisions of the main provision of this article, which shall be subject to its inspection as defined in regulations. Paragraph 4 The acts performed by any certification organization may be reviewed by the supervisory authority and, in case they are not in compliance with this Law, they shall be revised or annulled. Paragraph 5 Sufficient guarantees of compliance with the general principles of protection and with the data subject’s rights referred to in the main provision of this article shall be also analyzed in accordance with the technical and organizational measures adopted by the processor, as provided for in paragraphs 1 and 2 of article 46 of this Law.","Are data subjects fully able to exercise their rights (access, correction, deletion, portability) as specified in Article 35?","Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Cross-border transfer register ; Transfer mechanism (SCCs/adequacy/ANPD clauses) ; Transfer impact assessment (TIA) ; Contractual safeguards and onward transfer controls ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER VI PERSONAL DATA PROCESSING AGENTS,Article 36,. Any changes in the guarantees presented as being sufficient guarantees of compliance with the general principles of protection and with the data subjects’ rights referred to in item II of article 33 of this Law shall be communicated to the supervisory authority. PERSONAL DATA PROCESSING AGENTS Section I Controller and Processor,"Are data subjects fully able to exercise their rights (access, correction, deletion, portability) as specified in Article 36?",DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports,,
CHAPTER VI PERSONAL DATA PROCESSING AGENTS,Article 37,". The controller and the processor shall keep in record the personal data processing operations carried out by them, especially where they are based on a legitimate interest.",Are the roles and responsibilities of controllers and processors clearly established and followed under Article 37?,Legal basis register per purpose (matrix) ; Legitimate Interest Assessment (where applicable) ; Contractual clauses supporting 'contract' basis ; Regulatory obligation references (for 'legal obligation' basis) ; Balancing test / LIA ; Opt-out mechanism and logs for LI processing ; Purpose assessment documenting necessity/proportionality ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records,,
CHAPTER VI PERSONAL DATA PROCESSING AGENTS,Article 38,". The supervisory authority may require the controller to prepare a data protection impact assessment, including sensitive data, relating to its data processing operations, as provided for by the regulations, with due regard for trade and industrial secrets. Sole paragraph. With due regard for the provisions in the main provision of this article, the report shall contain at least a description of the types of data collected, the methodology used for collection and as guarantee of security of the information, and an analysis of the controller in relation to the measures, safeguards and risk mitigation mechanisms adopted.",Has the organization implemented and maintained adequate security measures and incident response mechanisms under Article 38?,"Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Sensitive data handling SOP ; Anonymization/pseudonymization methodology ; Data segregation evidence (logical/physical) ; Purpose limitation approvals for sensitive categories ; DPIA reports and approvals ; Risk register entries linked to processing activities ; Mitigation action plans and status tracking ; Incident response plan ; Incident/breach log and root cause analyses ; Authority/data subject notification templates ; Post-incident corrective actions evidence ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER VI PERSONAL DATA PROCESSING AGENTS,Article 39,". The processor shall carry out the processing in accordance with the instructions supplied by the controller, which shall determine the compliance with its own instructions and the rules on the matter.",Are the roles and responsibilities of controllers and processors clearly established and followed under Article 39?,Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records,,
CHAPTER VI PERSONAL DATA PROCESSING AGENTS,Article 40,". The supervisory authority may establish interoperability standards for purposes of portability, free access to data and security, and on the retention time of the registrations, especially in view of the need and transparency. Section II Data Protection Officer",Has the organization implemented and maintained adequate security measures and incident response mechanisms under Article 40?,"Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Data retention schedule (by purpose/system) ; Automated deletion job configs & logs ; Secure disposal certificates (where applicable) ; Legal hold procedure ; Incident response plan ; Incident/breach log and root cause analyses ; Authority/data subject notification templates ; Post-incident corrective actions evidence ; DPO appointment letter & contact publication ; DPO responsibilities charter ; Reports/escalations to management ; Independence & conflict-of-interest statement ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER VI PERSONAL DATA PROCESSING AGENTS,Article 41,". The controller shall indicate a data protection officer. Paragraph 1 The identity and contact data of the data protection officer shall be publicly, clearly and objectively disclosed, preferably in the controllers’ website. Paragraph 2 The activities of the data protection officer consist of the following: I – to accept complaints and communications from the data subjects, provide clarifications and take measures; II – to receive communications from the supervisory authority and take measures; III – to instruct the employees and contractors of the entity on the practices to be adopted in relation to the personal data protection; and IV – to carry out any other duties established by the controller or in supplementary rules. Paragraph 3 The supervisory authority may establish supplementary rules on the definition and duties of the data protection officer, including the cases in which there is no need for appointing such data protection officer, in accordance with the nature and size of the entity or the volume of data processing operations. Section III Liability and Compensation",Does the organization comply with the supervisory authority’s requirements and cooperate as outlined in Article 41?,"DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; DPO appointment letter & contact publication ; DPO responsibilities charter ; Reports/escalations to management ; Independence & conflict-of-interest statement ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER VI PERSONAL DATA PROCESSING AGENTS,Article 42,". Any controller or processor that, in connection with the performance of the activity of personal data processing, causes any property, moral, individual or collective damage to any third party, in violation of the personal data protection law, shall be required to indemnify it. Paragraph 1 In order to ensure effective indemnity to the data subject: I – the processor shall be jointly liable for any damages caused by the processing if the processor fails to comply with the obligations of the data protection law or fails to follow the lawful instructions of the controller, in which case the processor shall be equivalent to the controller, except in the events of exclusion established in article 43 of this Law; II – any controllers that are directly involved in the processing which resulted in damages to the data subject shall be jointly liable, except in the events of exclusion established in article 43 of this Law. Paragraph 2 The judge, in a civil proceeding, may reverse the burden of proof in favor of the data subject whenever, in the judge’s opinion, the allegation is likely, there is lack of assets for purposes of production of evidence, or the production of evidence by the data subject shall be exclusively burdensome for such data subject. Paragraph 3 Actions for indemnification of collective damages intended to establish liability, as provided for in the main provision of this article, may be collectively conducted in court, with due regard for the provisions of the applicable law. Paragraph 4 Anyone who compensates a damage to the data subject shall have a right of recourse against the other liable parties, to the extent of their participation in the harmful event.",Are the roles and responsibilities of controllers and processors clearly established and followed under Article 42?,"Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER VI PERSONAL DATA PROCESSING AGENTS,Article 43,". The processing agents shall not be held liable only if they demonstrate: I – that they did not carry out the personal data processing attributed to them; II – that, although they carried out the personal data processing attributed to them, there was no violation of the data protection law; or III – that the damage results from exclusive fault of the data subject or any third party.",Does the organization meet the specific compliance requirements described in Article 43?,DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports,,
CHAPTER VI PERSONAL DATA PROCESSING AGENTS,Article 44,". The personal data processing shall be irregular if it fails to comply with the law or fails to provide the security that the data subject may expect therefrom, considering the relevant circumstances, including: I – the way it is performed; II – the result and the risks that are reasonably expected from it; III – the personal data processing techniques available at the time it was carried out. Sole paragraph. Any controller or processor that causes the damage by failing to take the security measures established in article 46 of this Law shall be liable for the damages arising out of the data security violation.",Has the organization implemented and maintained adequate security measures and incident response mechanisms under Article 44?,"DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Incident response plan ; Incident/breach log and root cause analyses ; Authority/data subject notification templates ; Post-incident corrective actions evidence ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER VII SECURITY AND GOOD PRACTICES,Article 45,. The events of violation of the data subjects’ right within the scope of the consumption relationships remain subject to the liability rules established in the applicable law. SECURITY AND GOOD PRACTICES Section I Data Security and Confidentiality,Has the organization implemented and maintained adequate security measures and incident response mechanisms under Article 45?,"DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Incident response plan ; Incident/breach log and root cause analyses ; Authority/data subject notification templates ; Post-incident corrective actions evidence ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER VII SECURITY AND GOOD PRACTICES,Article 46,". The processing agents shall adopt security, technical and administrative measures that are capable of protecting the personal data from unauthorized accesses and accidental or unlawful situations of destruction, loss, modification, communication or any form of inappropriate or unlawful processing. Paragraph 1 The supervisory authority may provide for the minimum technical standards to make the provisions in the main provision of this article applicable, considering the nature of the treated information, the specific characteristics of the processing, and the technology current state, especially in case of sensitive personal data, as well as the principles established in the main provision of article 6 of this Law. Paragraph 2 The measures referred to in the main provision of this article shall be complied with from the product or service conception phase to the performance thereof.",Has the organization implemented and maintained adequate security measures and incident response mechanisms under Article 46?,"Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Sensitive data handling SOP ; Anonymization/pseudonymization methodology ; Data segregation evidence (logical/physical) ; Purpose limitation approvals for sensitive categories ; Incident response plan ; Incident/breach log and root cause analyses ; Authority/data subject notification templates ; Post-incident corrective actions evidence ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER VII SECURITY AND GOOD PRACTICES,Article 47,". The processing agents or any other person that interferes with any of the processing phases shall be required to ensure the information security provided for by this Law in relation to the personal data, including after expiration thereof.",Has the organization implemented and maintained adequate security measures and incident response mechanisms under Article 47?,"Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Incident response plan ; Incident/breach log and root cause analyses ; Authority/data subject notification templates ; Post-incident corrective actions evidence ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER VII SECURITY AND GOOD PRACTICES,Article 48,". The controller shall notify the supervisory authority and the data subject of the occurrence of any security incident that may result in any relevant risk or damage to the data subjects. Paragraph 1 Such notice shall be delivered within a reasonable term, as defined by the supervisory authority, and contain at least: I – a description of the nature of the affected personal data; II – information on the data subjects involved; III – indication of the technical and security measures used for data protection, with due regard for trade and industrial secrets; IV – the risks relating to the incident; V – the reasons for the delay, in case the notice is not immediate; and VI – the measures that were or shall be adopted to reverse or mitigate the effects of the loss. Paragraph 2 The supervisory authority shall determine the severity of the incident and, if required for safeguard of the data subjects right, may order the controller to take measures such as: I – broad disclosure of the fact in media outlets; and II – measures to reverse or mitigate the effects of the incident. Paragraph 3 In the determination of the incident severity, evidence shall be assessed that appropriate technical measures were adopted to make the affected personal data unintelligible, within the scope and the technical limits of its services, to third parties not authorized to access them.",Has the organization implemented and maintained adequate security measures and incident response mechanisms under Article 48?,"Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Data retention schedule (by purpose/system) ; Automated deletion job configs & logs ; Secure disposal certificates (where applicable) ; Legal hold procedure ; Incident response plan ; Incident/breach log and root cause analyses ; Authority/data subject notification templates ; Post-incident corrective actions evidence ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER VII SECURITY AND GOOD PRACTICES,Article 49,". The systems used for personal data processing shall be structured in such a manner as to meet the security requirements, the good practices and governance standards, and the general principles established in this Law and in any other regulatory rules. Section II Good Practices and Governance",Has the organization implemented and maintained adequate security measures and incident response mechanisms under Article 49?,"Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Incident response plan ; Incident/breach log and root cause analyses ; Authority/data subject notification templates ; Post-incident corrective actions evidence ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER VII SECURITY AND GOOD PRACTICES,Article 50,". The controllers and processors, within the scope of their authority for personal data processing, individually or by means of associations, may prepare good practices and governance rules that provide for organization conditions, operation system, procedures, including complaints and petitions of data subjects, security rules, technical standards, specific obligations for the different parties involved in the processing, educative actions, internal mechanisms of supervision and risk mitigation, and any other aspects relating to personal data processing. Paragraph 1 When establishing good practices rules, the controller and the processor shall take into account, in relation to the processing and the data, the nature, scope, purpose and likelihood and severity of the risks and benefits arising out of the data subjects’ data processing. Paragraph 2 In the application of the principles indicated in items VII and VIII of the main provision of article 6 of this Law, the controller, with due regard for the structure, level and volume of its operations, and the sensitivity of the treated data and the likelihood and severity of the damages to the data subjects’, may: I – implement a privacy governance program that shall at least: a) demonstrate the controller’s commitment to adopt internal processes and policies that ensure broad compliance with rules and good practices concerning personal data protection; b) be applicable to the entire set of personal data under its control, regardless of the manner as it carried out the collection thereof; c) be adapted to the structure, level and volume of its operations, and to the sensitivity of the treated data; d) establish appropriate policies and safeguards based on a process of systematic assessment of impacts on and risks to the privacy; e) be intended to establish a trust relationship with the data subject, by means of transparent actions that ensure mechanisms of participation of the data subject; f) be integrated to its general governance structure and establish and apply internal and external supervision mechanisms; g) have an incident response and remediation plan; and h) be constantly updated based on information obtained from continuous monitoring and periodic assessments; II – demonstrate the effectiveness of its privacy governance program when appropriate, especially at the request of the supervisory authority or any other entity in charge of promoting compliance with good practices or codes of conduct, which independently promote compliance with this Law. Paragraph 3 The good practices and governance rules shall be published and updated from time to time and may be acknowledged and disclosed by the supervisory authority.",Has the organization implemented and maintained adequate security measures and incident response mechanisms under Article 50?,"Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Incident response plan ; Incident/breach log and root cause analyses ; Authority/data subject notification templates ; Post-incident corrective actions evidence ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER VIII,Article 51,. The supervisory authority shall encourage the adoption of technical standards for easier control by the data subjects of their personal data. INSPECTION Section I Administrative Sanctions,Are there mechanisms in place to address administrative sanctions and penalties described in Article 51?,DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports,,
CHAPTER VIII,Article 52,". The data processing agents, in connection with any infractions of the rules established in this Law, shall be subject to the following administrative penalties applicable by the supervisory authority: I – warning, with indication of a term for adoption of corrective measures; II – simple fine of up to two percent (2%) of the sales revenue of the legal entity of private law, group or conglomerate in Brazil in its last fiscal year, excluding taxes, limited, in the aggregate, to fifty million Reais (R$50,000,000.00) per infraction; III – daily fine, with due regard for the total limit referred to in item II; IV – disclosure of the infraction after it has been duly investigated and its occurrence has been confirmed; V – blockage of the personal data to which the infraction relates, until regularization thereof; VI – elimination of the personal data to which the infraction relates; VII – partial or total suspension of the operation of the database to which the infraction relates for a maximum period of six (6) months, which can be extended for an identical term until regularization of the processing activity by the controller; VIII – suspension of performance of the personal data processing activity to which the infraction relates, for a maximum term of six (6) months, which can be extended for an identical term; IX – partial or total prohibition of the performance of any activities relating to data processing. Paragraph 1 The penalties shall be imposed after an administrative proceeding that provides the chance of broad defense, on a gradual, individual or cumulative basis, in accordance with the peculiarities of the relevant case and considering the following parameters and criteria: I – the severity and nature of the infractions and the personal rights affected; II – the good faith of the infractor; III – the advantage obtained or intended by the infractor; IV – the infractor economic condition; V – repeated occurrence; VI – the level of damage; VII – cooperation by the infractor; VIII – repeated and demonstrated adoption of internal mechanisms and procedures that are capable of minimizing the damage, intended for secure and appropriate data processing, in accordance with the provisions in item II of paragraph 2 of article 48 of this Law; IX – the adoption of good practices and governance policy; X – the ready adoption of corrective measures; and XI – the proportionality between the severity of the fault and the penalty intensity. Paragraph 2 The provisions in this article do not replace the imposition of administrative, civil or criminal penalties defined by the specific law. Paragraph 3 The provisions in items I, IV, V, VI, VII, VIII and IX of the main provision of this article may be imposed on government entities and bodies, without prejudice to the provisions in Law No. 8.112 of December 11, 1990 (Federal Government Employee Statute), in Law No. 8.429 of June 2, 1992 (Administrative Improbity Law), and in Law No. 12.527 of November 18, 2011 (Access to Information Law). Paragraph 4 When calculating the amount of the fine referred to in item II of the main provision of this article, the supervisory authority may consider the total sales revenue of the company or group of companies, whenever it does not have the amount of the sales revenue in the business field in which the infraction occurred, as defined by the supervisory authority, or when the amount is presented in an incomplete manner and/or not demonstrated in an unequivocal and suitable manner.","Is personal data processing by public authorities limited to lawful, necessary, and transparent purposes under Article 52?","Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Data retention schedule (by purpose/system) ; Automated deletion job configs & logs ; Secure disposal certificates (where applicable) ; Legal hold procedure ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER VIII,Article 53,". The supervisory authority shall define, by means of proper regulations on administrative penalties for infractions to this Law, which shall be the subject-matter of public inquiry, the methodologies that shall guide the calculation of the base amount of the penalties of fine. Paragraph 1 The methodologies referred to in the main provision of this article shall be previously published, for information of the processing agent, and objectively present the forms and dosimetry for calculation of the base amount of the penalties of fine, which shall contain a detailed justification of all elements thereof, demonstrating compliance with the criteria established in this Law. Paragraph 2 The regulation of penalties and corresponding methodologies shall establish the circumstances and conditions for adoption of simple or daily fine.",Are there mechanisms in place to address administrative sanctions and penalties described in Article 53?,"Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER IX THE NATIONAL SUPERVISORY AUTHORITY (“ANPD”) AND NATIONAL PERSONAL,Article 54,". The amount of the penalty of daily fine applicable to infractions of this Law shall take into account the severity of the fault and the extension of the damage or loss caused and be justified by the supervisory authority. Sole paragraph. The notice of imposition of daily fine shall contain at least a description of the obligation imposed, the reasonable term established by the body for compliance therewith, and the amount of the daily fine to be imposed for breach thereof. THE NATIONAL SUPERVISORY AUTHORITY (“ANPD”) AND NATIONAL PERSONAL DATA AND PRIVACY PROTECTION COUNCIL Section I Data Protection Supervisory Authority (ANPD)",Are there mechanisms in place to address administrative sanctions and penalties described in Article 54?,"Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Incident response plan ; Incident/breach log and root cause analyses ; Authority/data subject notification templates ; Post-incident corrective actions evidence ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
